stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,178.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0
  5-6,67.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.07,22.99,0,0,4.2,0,0,0,4.37,0,3.28
 14-21,0,1.07,0,2.28,1.73,0,0,24.89,0,0,0,0,0,0,0,0,20.49,0,4.47,5.52,0,0,0,1.81,43.39,0.81,73.51
 24-34,0,0,0,1.32,0,0,0,31.94,0,0,1.36,0,0,0,0,0.76,27.16,0,30.17,5.65,0,0,0,0,20.07,1.27,46.36
 36-46,0,0,0,0,1.37,8.76,0,20.81,0,0,3.34,0,0,1.7,0,0,95.7,0,25.75,3.69,0,0,0,0,13.44,0,42.44
 48-58,0,0.46,0,0,5.77,0,0.6,16.45,0,0,4.65,6.87,0,5.97,0,0,67.38,0,12.35,6.85,0,0.91,0,0,2.6,0,31.79
 60-70,0,0.57,0,0,1.68,0,0,13.36,0,0,9.59,0,6.87,2.54,1.83,0,31.43,0,41.83,22.37,0,0,0,0,4.97,0,11.51
 72-82,0,3.61,0,0,7.85,0,0,9.36,3.56,0,12.91,0,0,4.62,0,0,26,0,45.54,32.45,0,0,0,0,0,0,15.49
 84-94,0,3.29,1.01,0,8.17,0,0,6.51,0.75,0,11.13,0,0,0.9,0,0,26.76,0,35.88,34.34,0,2.54,0,0,8.57,0,6.41
 96-106,0,7.34,0,1.56,10.92,0,4.04,12.1,0.71,0.64,25.34,3.93,0.58,5.2,0,0,10.85,0,57.98,39.42,0,0,0,0,1.54,0,3.37
108-118,0,2.01,0.42,0,7.93,0,0,10.82,4.39,0,14.25,0,0,8.6,0,0,23.92,0,38.34,42.51,0,0,0,0,2.3,0,0.71
120,0,0,0,0,0,0,0,13.12,0,0,25.42,0,0,0,0,0,52.66,0,16.15,32.56,0,0,0,0,5.44,0,7.84
