stage,epidermis,eye,glial,gut,immune,mesenchyme,neural,notochord,paraxial_mesoderm,pronephros,spinal_cord,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,4.47,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.63,0,0
 36-46,0,0.84,0,0,0,0,2.08,0,0,0,0.64,0
 48-58,1.77,0.94,0,0,0,0.65,17.36,0,0,0,0,0
 60-70,0,1.52,4.81,0,0,0,89.45,0,0,0,0,0
 72-82,0,2.41,0,0,0,0,46.85,0,0,0,0,0
 84-94,0,1.24,0,0.59,3.01,0,23.03,0,0,0,0,0
 96-106,0,2.92,4.55,0,7.33,0.78,42.44,0,0,0,0,0
108-118,0,0,0,0,1.96,0,27.98,0,0,0,0,1.11
120,0,1.08,0,0,2.4,15.2,36.13,3.33,0,0,0,0
