stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,gut,hatching.gland,liver,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,901.94,26257.13,0,0,0,0,0,0,0,0,0,0,0,0,1354.27,0,0,0,0,0
  5-6,724.97,6934.72,0,34.42,0,0,0,38.43,0,0,141.58,16.8,0,9.5,231.37,0,0,0,0,0
  7-9,21.27,10.68,0,22.95,0,41.12,0,34.84,0,0,541.61,23.38,0,166.27,0,36.31,0,0,0,0
 10-12,0,22.93,0,0,0,27.77,0,0,0,0,142.83,0,0,64.47,0,4.37,0,13.48,28.97,0
 14-21,0,0,0,3.64,4.1,1.96,0.82,0,0,2.85,20.49,5.29,5.56,0,1.66,0,12.72,0.82,3.63,9
 24-34,0,0,0.6,3.67,1,0.74,0,0,3.15,0,9.66,0,0,0,0,0,0,0,0,4.24
 36-46,0,0,0,0,0,0,0,0,4.65,0,2.68,0,0,0,0,0,0,0,0,2.15
 48-58,0,0,0,0,0,1.34,0,0,0.39,0,9.17,0,0.54,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,16.4,1.03,0,0,0,6.42,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.32,0,0,0,0,3.91,0,0,0,0,0,0,0.7,0,1.23
 96-106,0,0,0,0,0,4.24,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.92,0,0,1.8,0,2.8,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0
