stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,39.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.12,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,3.15,0,0,4.41,0,3.38,0,0,0,0,0
 14-21,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,2.86,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,1.06,9.88,0,1.12,0,0,0,0,3.4,0,0,2.53,0
 36-46,0,0,0,0,0,2.18,0,0,0,1.09,0,0,0,0,0,5.16,0,0,2.66,44.92,0,4.34,0,0,0.62,0,8.56,0,0,0,0
 48-58,0,0,0,0.55,0,15.95,1.13,2.94,0.69,1.95,0,0,0,0,0,6.12,1.91,0,1.31,43.84,0,0.41,0,0,0,0,1.62,0,0,0,0
 60-70,0,0,0,0,0,346.06,0,0,0,0.64,0,0,0,0,0,16.13,0,0.65,1.47,59.92,0,0,0,0,0,9.51,8.92,0,0,0,0
 72-82,0,0,0,3.09,0,670.87,0,0.58,0,6.09,0,0,0,0,0.5,23.99,0,0,0,85.81,0,0,0,0,0,0,8.06,0,0,0,0.96
 84-94,0,0,0,8.11,0,539.58,0,0,0,21.51,0.72,0,1.42,0.58,0,21.21,0.57,0,1.01,86.21,0,0,0,0,0.8,0,0.67,0,0.9,0,1.11
 96-106,0,0,1.41,0.84,2.8,596.04,0,0,0,10.74,0,0,0.63,2.22,0,50.41,0,0,0,110.13,0,0,0.85,0,8.09,0,3.8,0,1.74,2.63,1.17
108-118,0,0,0,1.55,0,526.04,0,0,0.95,1.84,0.62,0,0,0,0,19.4,0,0,0,76.69,0,1.96,0.91,0,7.02,0,8.85,3.42,2.13,0,0
120,0,0,0,4.26,0,345.3,0,0,0,0,0,1.49,0,4.81,0,47.12,0,0,0,259.72,0,4.24,13.74,0,8.14,0,0,0,0,0,0
