stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,spinal.cord,vasculature
  3-4,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11,0,0
 10-12,0,0,0,0,11.66,0,0,0,0,0,0,0,40.99,0,0,11.52,0,0
 14-21,0,0,0,1.46,0,0,0,0,0,0,0.86,0,7.47,0,0,0,1.89,0
 24-34,0,0,0,0,4.1,0,0,0,0,0,12.45,1.69,38.02,0,0,0,19.3,0
 36-46,0,0,0,0,3.36,0,0,0,0,0,0.58,0.62,73.35,1.48,0,0,12.53,0
 48-58,0,0,0,0,9.07,0,0,0,0,0,3,0.82,64.5,0,0.46,0,16.81,0
 60-70,0,0,0,0,64.93,0,0,9.69,0,0,0.76,0,318.92,0,0,0,12.13,0
 72-82,0,0.68,0,0,142.09,0,0,3.93,0,0,0.53,0.56,364.71,0.9,0,0,4.46,0.83
 84-94,0,0,2.17,0,153.16,0,0,4.04,0.86,0,7.61,0,209.17,0,0,0,0.65,0
 96-106,0,0.89,0,0,111.38,1,0,5.37,0,0.72,0.78,0,257.22,0.81,0.84,0,1.35,0
108-118,0,0,0,0,119.02,0.56,0.68,25.39,1.23,0,3.68,0,235.09,0,0,0,4.38,1.07
120,0,0,0,0,188.61,0,0,21.79,1.14,0,16.06,1.9,602.64,0,0,0,12.11,0
