stage,epidermis,eye,gut,neural,olfactory,periderm
 14-21,0,0,0,0,0,1.6
 24-34,0,0,0,0,0,10.89
 36-46,0,0,0,0.84,0,28.82
 48-58,0,3.02,0,1.21,0,23.02
 60-70,0,0,0,0,0,6.23
 72-82,0,0,0,0,0,2.08
 84-94,0,0,0,0,0,20.86
 96-106,2.21,0,0,0,0,14.64
108-118,0,0,0.42,2.35,0,21.39
120,2.12,0,0,0,10.58,14.13
