stage,blastomeres,endoderm,epidermis,erythrocytes,glial,gut,immune,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  7-9,7.42,0,0,0,0,0,0,0,0,0,106.99,12.44,205.62,0,0,0,0,0,0
 10-12,15.28,27.82,0,0,0,0,0,0,0,0,284.52,20.05,668.72,0,0,37.52,0,0,0
 14-21,0,0,65.88,16.31,28.34,6.16,0,1.01,6.94,15.87,48.48,14.93,40.88,1.15,137.13,7.07,43.56,239.38,3.31
 24-34,0,0,0,0,9.02,0.89,0,0,0.77,0,15.28,0,0,0,0,0,2.04,46.16,0
 36-46,0,0,0,0,0,0,0,0,1.53,0.62,0,0,0,0,0,0,0,7.23,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,4.25,0
 60-70,0,0,0,0,0,0,0,0,1.03,0,1.68,0,0,0,0,0,0,2.4,0
 72-82,0,0,0,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0
 84-94,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,2.86,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,1.57,0
