stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.72,245.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.53,165.06,23.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.92,0,0,0,9.77,0,0,0,0,0,0,0,0,0,0
  7-9,13.31,0,4.2,0,0,9.13,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,69.97,0,0,0,26.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.91,5.03,0,0,12.48,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.04,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,2.84,14.93,0.89,0,0,0.84,0,0,4.19,0,0.82,4,0,0,0,0
 24-34,0,0,0,0,0,10.21,0,0,0,0,0,0,0,0,0,0,0.61,0,1.33,0,3.08,11.02,0,0,0.69,0,2.95,0,0,0,1.27,8.15,0,0,0,0
 36-46,0,0,0,0,0,27.31,0,0,0,0,0,0,0.81,0,0,0,0,4.5,1.52,0,0,23.06,0,0,0,0,6.23,0,0,0,0,9.54,0,0,0,0
 48-58,0,0,0,0.37,0,88.49,0,0,0,0,0,0,0,0,0,0,0.66,1.58,2,0,0.42,17.4,0,0,0,0,30.38,0,0,0,0,5.97,0,0,0,1.54
 60-70,0,0,0,2.34,0,211.69,0,2.75,3.45,0,0,0,0,0,0,0,0,0,8.82,0,0,38.79,0,0,1.82,0,18.17,0,0,0,0,8.74,0,0,0,8.02
 72-82,0,0,0,3.58,0,355.7,0.55,0,7.34,2.26,0,2.28,0,0,0,0,0,0.49,8.01,0,1.05,36.36,0,0,0,0,5.1,0.56,0,0,0,1.62,0.6,0,0,0
 84-94,0,0,0,0.63,0,255.67,0,0.82,6.12,0,0,0,0.83,0,0,0.89,0,0,8.96,1.14,0,50.2,0,0,2.91,0,25.17,0,0,1.3,0,0,0,0,0,0
 96-106,0,0,0,4.51,9.9,334.37,0,0.93,1.87,1.49,0,1.3,0,1,0,0.67,0,0,5.7,1.13,0,50.72,0.6,0,0,0,21.41,0,0,0,0,0,16.81,0,0,0
108-118,0,0,0,3.5,1.35,410.13,0,2.5,4.97,0,0,0,0,0,1.61,0,0,2.71,3.47,0,0,44.38,0,1.42,1.54,0,13.35,0,0,0,0,0,25.02,0.43,0.49,3.46
120,0,0,0,0,0,426.47,0,0,8.36,0,0,0,6.75,0,0,0,0,0,1.91,0,0,99.76,0,0,0,0,6.73,0,0,0,0,0,18.66,6.46,0,0
