stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,15.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0
  7-9,5.4,0,0,6.18,0,0,0,0,0,0,0,0,0,68.84,0,0,0,0,0,0,0,0,0,0,0,71.08,0,0,0,11.72,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.42,0,0,0,0,0,0,0,0,0,27.38,0,0,0,0,0,0,0,0,0,0,0,120.21,0,0,0,9.42,9.01,0,46.14,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.78,22.77,13.34,0,13.83,0,0,0,0,54.82,0,0,2.72,56.65,0,0,18.8,20.58,8.82,5.02,0,0,27.85,0.86,0,7.12,0,96.86,0,728.66,0.83,5.15,2.94,0,0,1.98,0,0
 24-34,0,0,0,2.65,3.16,0.66,0,105.93,0,0.71,0,1.11,12.1,0.76,3.4,47.93,146.11,0,1.2,16.2,34.9,10.02,14.04,0,0,65.12,0,8.2,26.21,0,166.84,0,308.2,0.85,0,5.84,0,0,27.26,0,0
 36-46,0,0,0,2.68,6.49,0,0,90.83,0,0,0,0,19.01,3.21,0,21.89,111.88,0,5.53,11.74,4.24,12.98,13.39,0,4.63,73.04,0,4.55,21.97,0,121.65,1.39,220.2,0.79,0,5.44,0,0,19.87,0,2.73
 48-58,0,0,1.38,4.4,15.1,0.43,0,232.84,0,0.42,0,5.07,27.52,14.07,0,49.61,58.5,2.84,2,6.25,19.82,30.09,16.59,0,0.53,65.21,0,4.35,27.01,0,99.49,0,117.5,0,0,3.87,0,0,10.84,0,1.73
 60-70,0,0,4.49,1.36,31.53,0,0,263.85,0,9.91,1.71,7.48,52.75,6.61,0,57.15,56.09,1.29,4.77,4.62,0,68.17,10.62,0.95,3.19,49.18,0,6.43,23.32,0,153.33,0,168.11,0,0,17.95,0,0,13.54,0,0
 72-82,0,0,16.25,0.51,20.91,0,0,222.86,0,3.6,0,15.01,119.72,6.32,0,35.29,53,0.54,4.31,6.78,6.17,108.92,16.02,2.15,0.69,91.15,0,6.11,31.05,0,89.03,0,177.09,0,0,4.79,0,0,27.5,0,0
 84-94,0,0,16,4.23,40.33,11.86,0,395.63,0,11.88,2.34,14.61,241.26,11.07,0,63.01,104.82,3.26,12.37,5.57,5.1,101.53,30.13,0,0,76.99,2.13,17.23,34.85,0,336.96,0,341.66,0,0,0,2.93,2.53,31.85,1.09,0
 96-106,0,0,28.77,7.22,72.65,10.66,6.17,387.01,6.3,15.31,6.48,50.64,302.54,1.06,0.89,77.95,100.4,0,14.55,7.59,3.76,76.22,26.16,0.66,7.27,124.81,0.59,20.1,55.59,0,385.46,0,338.25,0,0,1.63,6.48,0,34.56,2.89,11.24
108-118,0,0,18.98,10,69.5,7.69,10.11,462.52,1.94,4.99,0.49,25.21,417.44,0,2.62,73.66,114.83,2.36,14.28,3.67,9.27,79.41,27.96,2.12,4.11,88.95,0,23.4,58.48,0,307.06,0,347.89,0,0,4.53,18.21,0,28.07,2.62,0
120,0,0,18.03,0,57.96,0,0,196.01,0,7.39,1.92,46.97,373.7,0,0,123.03,60.06,8.35,10.5,17.24,3.47,69.45,7.47,0,0,149.81,0,13.64,38.95,0,283.08,0,240.82,0,0,0,8.79,0,12.72,0,10.98
