stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,spinal_cord,vasculature,xanthophores
  5-6,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 14-21,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,5.87,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,7.63,0,0,0,0,2.5,0,0,0,0
 60-70,0,0,0,0,0,0,28.98,0,0,0,0,3.16,0,0,0.85,0
 72-82,0,0,2.79,0,0,0,16.55,0,0,0,0,0.96,0,0,0.64,0
 84-94,0,0,5.88,0,0,0,37.82,0,0,0.86,0.68,2.09,0,0,0,0
 96-106,0,0.86,0,0.69,0,0,35.45,0,2.27,0,0,9.96,0,2,0,11.11
108-118,0,0.92,3.8,0,0.54,1.49,42.43,0,1.38,0,0,9.84,0,0,0,0
120,0,6.71,5.16,0,0,2.51,91,8.6,0,0,0,0,6.1,0,0,0
