stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,95.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.99,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0.89,0,0.83,2.25,0,0,0,0
 24-34,0,0,0,0,2.78,1.2,0,1.05,0,0,0,0.71,0,0,0,0,0,2.26,23.89,1.49,0,0,0,0,0,0,5.27,0,0,0,0
 36-46,0,0,2.92,0,10.35,4.89,0,2.15,0,0,0,0,0,0,0,0.83,0,0,102.46,0,0,0,0,0,0.67,0,39.17,0,0,0,0
 48-58,0,1.75,0,2.49,38.29,0,2.43,9.12,0.97,0,0,0,0,0,0.57,7.21,0,1.27,188.05,0,0,0.61,0,0,0,0,45.25,0,0,0,0
 60-70,0,0,0,0,299.03,0,0,5.87,0,0,0,0,0,0,0,22.68,0,1.74,638.34,0,1.24,2.78,0,0,0,0,42.57,0,0,0,3.11
 72-82,0,0,2.82,0,646.31,0,1.85,13.99,0,0,0,1.23,0,0,0,43.98,1.28,0.53,457.68,0,4.44,6.81,0.53,0,0.97,0,4.44,0,2.47,0,2.2
 84-94,0,0,1.77,0,371.92,0,0,7.42,0.9,0,0,2.43,0.9,1.81,1.26,85.73,1.03,1.92,262.26,0,3.49,0.83,0.72,0,0,0,8.35,0.72,0,1.71,3.48
 96-106,0,0,0.58,0,567.76,0,0,6.31,6.97,0,1.09,1.37,0,0,0,75.43,1.06,3.19,313.71,4.75,3.27,16.95,0,0,0,1.08,4.4,0.58,0,2.05,0
108-118,0,0,5.77,0.95,607.96,0.98,2.11,15.1,7.12,0,0,0.42,0,0,0,59.57,1.6,1.19,291.09,0,3.73,15.56,1.42,0,0,1.12,7.92,1.86,2.56,1.7,2.68
120,0,0,0,0,221.29,4.15,0,11.6,6.27,0,0,0,0,0,0,56.63,0,1.26,323.19,0,1.52,10.01,0,0,0,0,23.81,6.52,0,3.23,10.56
