stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,iridophores,mesenchyme,neural,olfactory,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,8.85,0,0,88.8,0,0,0,0
 24-34,0,0,0.73,0,0,0,0.96,34.52,0,0,202.94,0,0.8,0,0
 36-46,0,0,0,0,1.27,0,0,88.53,0.92,5.34,391.02,0,0.86,0,0
 48-58,0,0,8.92,1.27,4.99,0,0,93.28,0.88,0,342.03,0,0,0,0
 60-70,0,0,42.97,0,7.24,0,2.95,198.34,1.15,0,385.74,0,0,0,0
 72-82,0,0,80.51,0.74,8.95,0,3.69,172.06,0,0,226.19,0.63,0,0,0
 84-94,2.39,0,93.79,0,4.92,3.85,1.69,176.21,0,0,122.61,0.84,0,1.13,2.32
 96-106,1.26,2.33,75.47,0,5.55,0,6.42,118.46,0,0,67.98,0,0,0,0
108-118,0,0,76.05,0,5.69,0,4.04,115.39,0,1.87,43.92,0,0,0,0
120,0,0,67.54,0,2.21,0,0,175.83,0,0,89.56,0,0,0,0
