stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,8.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,75.61,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.85,0,0,0,0,0,59.64,0,0,0,0,0,0,0,0,0,0,0,82.79,0,0,0,10.1,0,0,0,4.46,0,0,0,0,0,0,0
 14-21,0,0,0,14.93,0,0,28.33,0,0,0,0.87,6.42,4.7,0,0,0,0,0,0,0,8.46,1.1,0,1.24,174.8,15.09,6.42,0,86.7,0,0,73.26,10.09,28.88,61.21,0,0,0,0,0
 24-34,0,0,0,27.03,1.76,0,37.05,0,2.52,10.03,6.16,7.23,0,0,0,0,0,6.9,0,0,16.6,0,0,5.43,369.86,5.76,0,0.68,0,0,10.26,0,7.95,67.51,50.71,0,0,0,0,0
 36-46,0,0,0,12.25,0,0,419.04,0,1.04,10,121.14,8.66,0,1.05,0,12.86,0,2.21,0,0,91.28,0.56,0.6,17.16,852.4,0,0,4.98,0,0,4.45,0,3.52,0,42.21,0,0,0,0,0
 48-58,0.77,0,0,43.33,0,0,1344.14,0,1.82,10.22,288.82,3.11,0,4.81,0,1.81,1.02,5.52,0,0,180.99,0,2.49,31.04,1345.59,1.2,0,0.44,0,0,1.51,0,0.79,0,142.98,0,0,1.85,0.5,5.42
 60-70,0,0,0,40.34,0.57,0,1457.58,0.97,0,4.25,156.97,0.93,0,0,0.6,0,18.18,2.59,0,5.46,199.29,0,1.48,8.68,689.39,0,0,1.48,0,0,0,0,0.82,0,39.15,0.84,7.43,0,2.17,6.38
 72-82,0,0,0,17.56,0,0,700.57,0.75,5.53,2.61,113.88,0,0,0,2.06,0,20.87,6.44,0,0,186.97,0,0,12.78,342.6,0,2.93,10.11,0,3.58,0,0,0,0,8.86,5.18,10.88,0,28.87,5.43
 84-94,0,0,0,13.69,0,0,488.63,0,4.48,8.32,46.27,0,0.6,0,0.96,0,42.22,4.13,0,0,223.29,0,4.98,2.64,328.03,0,0,12.44,0,0,3,0,0.73,0,17.8,4.85,6.12,5.91,23.31,0
 96-106,0,0,0,6.68,0,1.95,301.71,1.87,5.37,4.93,47.4,1.63,0,2.23,0,0.59,47.02,3.68,0,0,143.47,0,2.39,6.51,213.86,0,0,3.59,0,1.6,2.06,0,0,0,6.7,15.38,2.93,4.57,21.93,0
108-118,0,0,4.9,6.51,0,0,368.1,0,0,2.76,57.77,0.95,0,0,0,0,108.74,4.98,1.52,0,156.11,0,6.72,3.04,268.73,0.5,4.6,5.55,0,26.25,0,0,1.1,0,0.52,14.72,8.33,0,14.98,0
120,0,0,0,19.24,0,0,404.19,0,3.55,10.24,131.98,0,0,0,0,1.05,86.6,14.37,0,0,136.74,0,0,10.66,328.14,2.21,0,0,0,11.51,0,0,0,0,0,5.96,3.14,2.97,23.17,0
