stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature
  3-4,10.75,351.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.18,217.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.42,4.87,0,4.2,0,0,31.86,0,0,3.43,0,0,0,0,0,0,0,392.97,0,0,0,99.92,0,0,0,0,0
 10-12,0,0,0,28.52,0,9.65,87.39,0,0,14,0,0,0,0,0,0,0,540.85,10.66,0,0,277.93,0,15.99,0,0,0
 14-21,0,0,0,2.01,0,1.24,0,0,0,0,0,0.9,0,0,0,0,0,1.37,0,0,25.24,0,0,3.54,1.25,0,0
 24-34,0,0,0,1.25,0,0.95,0,0,0.66,0,0,1.57,0,0,0,0,0,9.88,0,3.01,2.63,0,0,6.78,13.06,0,5.08
 36-46,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,1.74,0,1.5,16.34,0,3.14,0,0,1.17,1.45,28.33,0,0
 48-58,0,0,0,0,0,0,2.85,0.98,2.92,0,0,0,0,0,0,0,0,90.09,0,3.1,2.3,0,0,1.02,14.51,0,0.63
 60-70,0,0,0,0,0,0,0.83,4.83,9.64,0,0,0,0,0,2.97,4.65,0,98.04,0,6.02,7.15,0,1.74,1.05,31.05,0,0
 72-82,0,0,1.61,0,0,0,14.44,18.23,9.02,0,0.61,0,0,1.11,0,13.86,0.77,134.74,0,3.11,16.26,0,0,11.81,6.53,0,0.49
 84-94,0,0,0,0,1.29,4.14,9.98,17.86,21.96,0,0,0,0,0,0,6.72,0,76.34,0,5.11,19.24,0,1.19,3.13,8,3,3.61
 96-106,0,0,2.26,0.72,1.85,0,9.8,0.57,22.93,0,0,0,0,2.6,2.42,22.46,0,81.65,0,2.38,18.65,0,0.92,1.84,8.79,0,0
108-118,0,0,1.18,0,0.46,0,17.24,21.78,37.46,0,0,0.42,1.01,3.05,2.31,0.47,1.84,122.28,0,2.19,34.35,0,3.14,1.12,0,0,1.25
120,0,0,0,0,2.98,3.24,1.96,28.29,32.61,0,0,2.19,6.33,0,0,5.65,0,176.22,0,0,19.09,0,1.5,10.59,9.8,0,0
