stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.45,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,30.18,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,0,0,0,0,0,2.59,0,0,0,0,0,0,0,0.87,0,0,0,0
 24-34,0,0,2.38,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,4.71,0,0,0,0,0,4.6,0,0,0,0,0,2.39,0,0.93,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,0,0,0,6.57,0,0,0,0,0,3.39,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.88,0,0,0,0.64,0.4,0,0,0,0,0,0.37,0,0,0,0,0,9.56,0,0,0,0,0,1.45,0,0,0,0,0,0
 60-70,0,8.02,0,0,0,0,2.02,0,0,0,0.73,29.77,0,0,0,0,0,33.48,0.71,0,0,0,0,7.79,0,0,0,0,0,4.65,0,0,0,0,0,0
 72-82,0,44.89,0.56,0,0,0,30.66,0,0,1.03,0.66,283.76,0.81,6.84,0,0,0,11.77,0,20,0,0,0,59.41,0.88,0,0,0,0,38.05,0,0,2.22,2.85,0,0
 84-94,0,58.28,0,0,2.32,0,14.83,0,0.62,0,0.61,439.81,0,0,0,0,0,5.26,0,0.7,0,0,0,37.49,0,0,0,0,4.62,86.53,0,0,0.71,1.63,0.98,0
 96-106,0,97.5,1.67,17.48,8.87,1.67,76.77,1.67,0.81,0,11.46,1405.84,0,8.09,0.68,2.68,1.08,28.75,0,18.02,1.15,11.75,2.43,189.29,0,0.63,0,1.36,32.97,118.07,0,0,0,4.01,0,10.35
108-118,0,96.83,6.37,17.02,4.96,3.65,28.82,0,0.88,0.46,17.3,2395.51,0,1.29,1.38,0.43,0,50.47,0,41.25,0,2.5,2.93,129.34,0,0,1.01,4.05,9.09,154.6,0.47,1.01,0,2.86,1.3,7.39
120,0,65.7,0,4.85,3.89,14.29,6.6,0,2.49,0,26.83,1801.7,0,5.34,0,0,0,51.91,1.51,12.06,0,0,0,142.92,0,0,0,0,13.57,67.38,0,0,0,12.44,0,0
