stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,4.79,4.17,0.82,0,1.2,0,0,0,0,0,0,0,1.03,0,0,0,6.79,0,0,6.23,61.4,2.35,0.92,0,1.98,3.4,5.92,5.55,0.85,8.37,14.99,0,0.83,0,0
 24-34,0,1.93,4.19,0,0,14.75,0,0.83,0.61,2.2,0.73,0,0,2.16,0,0,0.64,13.57,0,0,3,207.08,0,3.31,1.07,0,5.48,0,0,0.76,3.83,50.27,0,0,0,0
 36-46,0,0,3.44,0,0,37.4,0,0,0,8.15,0.78,0.69,0,0,0,0,0,13.84,0.95,1.94,0.63,229.28,0,5.24,0,0,2.03,0,0,0,0,61.02,0,0,0,0
 48-58,0,0,0,0,0,70.5,0,0.39,5.1,11.34,0,0,0,1.42,0,0,0.78,11.24,0,0.4,5.46,177.07,7.26,1.96,0.7,0,2.96,0,0,0,0,51.47,0,0.9,0,0
 60-70,1.79,0,2.32,0,0,180.5,0,0,0,21.66,0,0.9,0,0,0,0,0,19.61,0,0,1.46,222.87,1.77,0,0,0,3.8,0,0,0,0,17.88,0,0,0,0
 72-82,1.26,0,0.77,0,0,54.18,0,0,1.15,5.86,0.52,0,0,0,0,0,0,12.04,1.37,0,0.71,85.85,1.43,1.74,0,0,0.57,0,0,0,0,10.72,0,5.24,0.93,2.1
 84-94,0,0,2.22,0,0,32.11,0,1.68,0,3.85,0.72,0,0,0,0,0,0.83,11.72,0,0.58,0.59,62.41,0,0,0,0,7.51,0,0,0.73,0,1.48,0,0.93,0,0
 96-106,0,0,1.05,4.62,0,24.7,0.89,0,1.24,6.57,1.32,0,0.98,0,0,0.93,0,13.91,3.64,1.86,0,79.99,0,0,0,0,3.29,0,0,0,0,5.01,0,1.86,0.8,0
108-118,0,0,2.28,0,1.23,19.77,0,0.71,0,9.42,0.46,0,0.68,0,1.25,4.63,0,15.97,0,0,3.17,34.35,0.47,0.95,0.82,0,0.48,0,0,0.91,0,0,1.7,0,0,0
120,0,0,17.12,11.97,0,34.96,0,2.05,0,13.9,1.94,0,6.7,0,0,0,0,11.83,0,0,1.52,56.74,0,0,0,0,0,0,0,0,0,0,0,2.71,0,0
