stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.71,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.37,0,0,3.98,0,0,0,0,0
 14-21,0,0.81,0,0.86,0,1.25,0,0,0,2.99,0,0.89,0,0,0.81,1.18,0,1.94
 24-34,0,0,0,0,1.53,4.6,0,0.79,0,1.96,0,0,0,0,0,8.12,0,0
 36-46,0,0,0,0,2.23,3,0,0,3.85,0,0,0,0,0,0,8.13,0,0
 48-58,0,0,0,0,2.21,1.9,0,0.79,0,8.25,0,0,0,0,0,4.98,0,0
 60-70,0,0,0,0,2.22,1.25,0,0,0,5.36,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.6,0.86,0,0,0,0,0,3.45,0,0,0,0,0,0
 84-94,0,0,0,0,0.76,1.96,0,0.59,0,0,0,0,0,0,0,2,0,0
 96-106,0,0,0,0,0,0,0,0,0,0.98,0,1.14,0,0,0,0,0,0
108-118,0,0,0.45,0,0.7,0.98,0.52,0,0,2.5,0,0.54,0,0,0,0,0.54,0
120,0,0,0,0,0,0,0,0,0,0,6.75,2.8,0,4.44,0,0,0,0
