stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,44.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0,32.22,0,0,12.54,0,0,0,0,0,0
 10-12,3.64,0,0,7.79,0,0,0,0,0,0,0,0,0,0,0,29.2,0,0,0,0,11.27,0,0,0,0
 14-21,0,0,1.14,1.14,0,0,1.1,0,0,0,0,0,0,0,2.21,0.89,0,0,0,0,0,0,0,0,0
 24-34,0,0.64,0,1.57,0,0,0.68,0,0,0,0,0,0.93,0,1.6,30.51,0,0,0,0.61,0,2.29,0.61,0,0
 36-46,0,0,0.83,2.5,0,0.87,0,0,0,0,0,0,2.14,0.63,1.59,52.02,3.63,0,0,1.62,0,8.37,1.37,0,0
 48-58,0,0,0,11.7,0,0,4.64,0,0,0,0,0,5.2,0,0.89,55.84,0,0,0,0.9,0.46,9.29,0,0,0
 60-70,0,0,0.72,2.2,0,3.35,3.39,0,0.66,0,0,0,4.64,0,0,31.59,0,3.17,0,0,0,4.73,0,0,0
 72-82,0,0,0.51,21.72,0,0,0,0,0,0,0,0,8.09,0,1.37,47.85,0.74,0.9,0,2.31,0,1.24,0,1.31,0
 84-94,0,0,2.01,7.43,0.67,0,4.31,0.97,0,0,0,0.8,0,0,3.54,32.08,0.71,0.59,0,2.03,0,2.56,1.57,0.82,0
 96-106,0,0,0.78,7.77,0,0,1,0,0,0,0,0,7.68,0,0,29.69,0,1.03,0,3.68,0,0,0,0,0
108-118,0,0,9.08,16.98,0,0,4.02,0.54,0,1.35,0,0,2.7,0,0.45,26.99,0,3.19,0,2.52,0,1.43,0,0,0.41
120,0,0,3.32,0,0,0,15.93,0,0,0,4.28,2.12,1.16,0,0,14.46,0,0,0,3.3,2.11,0,0,0,0
