stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.1,33.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,28.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.23,0,0,6.69,0,8.88,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.42,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8.56,0,0,0,0
 24-34,0,0,0,1.52,0,0.95,0,0,0,1.79,0,0,0,0,0,0,0,0,1.34,0,0,0.81,122.98,0,5.12,0,0,0,0,0,0,53.44,0,1.24,0,0.86
 36-46,0,0,0,0,0,21.43,0,0,0,1,0,0,0,0,0,0,0,0,0,0.68,0,0,472.51,0,1.38,0,0,0,8.17,0,0,121.06,0,0,0,0
 48-58,0,0,0,0,1.35,80.56,0,0,0,21.14,0,0,0,0,0.39,0,0.7,0,5.15,0,0,0,820.83,0,0,0,0,0,1.28,0,0,96.98,0,0,0,0.63
 60-70,0,0,0,8.53,0.58,539.36,0,0,0,75.38,0.58,0.78,6.79,0,0,0.69,0,5.63,19.36,0,0,0,2068.7,0,0,10.68,0,1.19,0,0,0,152.96,0,0,0,0
 72-82,0,0,0,10.43,0,870.04,0,3.67,0,90.15,0.73,0,0.53,0.66,0,0,0,0,20.61,0,1.64,1.25,1916.97,0,1.13,0,0,0,0.94,0,3.73,149.55,0,2.05,1.27,9.74
 84-94,0,0,0,3.55,0,643.04,0.7,0,0,46.41,0.76,0,0,0,0,0,0,0,12.17,0,4.47,0,1298.56,0.62,0,0,0,9.9,0,0,0,110.4,0,0,4.06,12.76
 96-106,0,0,0,18.23,10.58,592.08,0,0.58,3.37,38.97,0,0,0,0,0,0,4.34,0,20.29,0,2.84,0,1061.49,0.64,0,0,0,0,4.86,0,0,53.64,0.81,0,3,0
108-118,0,0,0.74,34.42,0,588.52,0,0,1.03,49.22,2.2,0,0.44,0,0,0,2.78,0,13.87,0,0,1.18,1656.05,0,3.42,0.44,0,0,0.42,0,0,44.42,1.32,1.48,1.13,0
120,0,0,0,12.24,1.96,495.61,0,1.33,0,95.46,0,0,10.58,0,0,0,0,0,39.77,1.65,2.58,1.05,2189.06,0,0,3.91,0,2.03,1.31,1.53,0,58.96,0,1.72,0,0
