stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,mesenchyme,mural.cell,muscle,neural,pericytes,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,8.68,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0
 14-21,0.9,4.17,0,0,0,0,0,0,0,7.86,0,1.3,0.97,0,0,0
 24-34,0,0,0,0,0,0,4.73,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,9.87,1.45,0.73,0,0,0,0,0,0,0
 48-58,0.66,0,3.84,0.56,0.48,0,27.43,14.35,0.38,7,0.53,0,0,2.12,0,0.9
 60-70,0,0,2.72,0,0,0,41.97,17.01,0,9.42,1.61,0,0,11.91,0,13.56
 72-82,0.55,0,4.85,0,2.06,0,91.56,25.95,1.85,8.74,1.9,0,0,24.71,0,44.99
 84-94,0,0,2.96,0,0,0,81.32,35.75,0,0.69,0.79,0,0,33.04,0,91.77
 96-106,0,0,3.99,0,0,1.82,68.36,19.27,0.56,4.12,0,0,0,20.84,0.99,77.48
108-118,0,0,3.28,0,0,0,74.81,8.27,1.08,5.27,0,0,0,10.41,0.5,67.63
120,0,0,0,0,0,0,135.88,27.57,0,0,19.32,0,0,18.6,5.89,91
