stage,axial,epidermis,eye,fin.mesenchyme,glial,hatching.gland,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vasculature
  7-9,4.22,0,0,0,0,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.03,0,0,0,0,0,0,0,0,0
 14-21,0,1.36,0,0,0,0,0,0,0,0.9,12.46,0,0,1.24,0,0,0,3.15,0,0
 24-34,0,1.73,1.94,0,0,0,0,1.73,0,2.05,63.7,0,0,0.72,0,0,0,15.86,0,0
 36-46,0,1.51,33.09,0.61,6.53,0,0.85,10.34,0,0,394.6,0,0,0.6,0,0,0,52.37,0,3.61
 48-58,0,5.04,27.36,0,9.19,0,0,5.37,0,1.22,264.13,0,0,1.1,0,0,0,48.64,0,0
 60-70,0,2.82,38.31,0,6.45,0,6.57,16.21,0,0,566.36,0,0,0,0,1.32,0,64.17,0,3.63
 72-82,0,0,20.47,0,3.3,0,0,30.95,0,0,272.5,0,0.79,1.63,0,0,0,32.37,0,0.65
 84-94,0,21.68,28.52,0.7,6.26,0,0,20.83,0,0,215.88,0.65,0,2.48,0,0,0.67,22.84,0,0
 96-106,0,1.9,26.35,0,4.43,0,0,16.68,3,0,198.35,0,0,0,0.81,0,0,8.22,0,5.07
108-118,0,5.08,16.24,0.75,8.2,0,0,33.74,2.16,0,162.17,0,0,1.06,0,0,0,4.91,1.31,2.91
120,0,2.81,3.14,3.97,6.68,0,0,18.3,0,1.01,148.78,0,0,4.83,0,0,0,0,5.08,0
