stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.11,392.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.78,240.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.16,21.05,0,21.23,0,0,0,75.67,0,0,0,0,24.68,0,0,0,0,0,0,0,0,0,0,0,339.03,4.5,0,0,99.58,0,0,4.3,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.37,0,28.64,0,0,0,44.35,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,336.18,0,0,0,97.57,0,4.05,9.6,0,8.2,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.07,9.09,9.19,0,10.54,0,0,1.26,1.67,0.81,1.07,0,2.14,0,0,0,0,10.15,0,0,10.98,139.13,0.85,1.79,0,5.41,0,0,0,30.13,0,0.93,28.98,30.6,0,0,0,0,0
 24-34,0,0,1.05,0.97,4.12,1.56,0,20.45,0,0,4.22,1.35,0,0,0,0.76,1.45,1.36,0,0,11.71,0.95,0,11.09,207.48,0,0,0,0,0,1.43,0,0,2.17,0,3.62,42.92,0,0,3.41,0,0
 36-46,0,0,0,0,6.91,0,0,60.01,0,0.96,6.34,0,0,0,0,0,0,0,0.62,0,22.64,0,0,3.99,156.5,0,1.42,5.24,0,0,0,0,0,0,0,0,47.02,0,0,0.73,0,0
 48-58,0,0,0,0,0.38,0,0,66.96,0.41,1.04,14.13,0.91,0,0,0,0,3.92,0,0,1.32,12.88,0,1.13,2.81,184.31,0,0.48,0,0,0,10.25,0,0,0,0,0,31.15,0,0,2.4,0,0
 60-70,0,0,0,0,5.13,0,0,62.42,0,0,7.53,0,0,0,4.48,0,0,0.73,0.81,0,25.67,0,0,7.28,180.46,0.62,4.23,0.62,0,0,2.46,0,0,0.58,0,0,57.27,0,0.73,2.44,0,0
 72-82,0,0,0,0,4.53,0.55,0,70.75,0,3.74,13.92,1.32,0,1.28,1.03,0,0,0,0,0,45.56,0.78,3.64,1.4,169.46,0,0.7,1.72,0,0,1.9,0,0,0,0,0,19.75,0,1.66,4.91,1.47,11.7
 84-94,0,0,0,0,1.38,6,0,50.27,3.68,3.98,14.71,2.83,1.22,0,0.71,0,0,0,0,0,32.29,0,1.22,2.23,168.94,0,0,6.57,0,0,2.11,0,0,0,0,0,14.74,0,0,0,0,6.59
 96-106,0,0,0,0,8.11,1.45,0,54.53,0,1.4,14.7,1.42,0,0.99,3.83,1.55,0,2.42,0,0,24.01,2.42,5.72,2.85,85.09,0,2.73,1.27,0,3.05,5.07,0,0,0,0,0,5.88,2.22,1.89,3.38,0.64,0
108-118,0,0,1.27,0,11.04,0,3.4,61.18,0.47,1.87,20.41,1.79,0,0,3.84,0.77,0.85,1.48,0,0,53.12,0,0,5.53,167.05,0,0,2.77,0,0,1.22,0,0,0,0,0,13.44,1.29,0.54,5.59,0,0.68
120,0,0,0,0,2.16,2.11,1.71,35.63,2.16,0,18.96,8.45,0,4.06,0,0,0,0,8.08,0,60.86,0,0,6.65,181.8,1.17,0,1.12,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0
