stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  7-9,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.74,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0
 14-21,0.91,0,316.06,0,0,0,0,1.28,5.07,11.06,0,0,1.02,0,2.17,0,0,0,0,0.83,0,1.5,1.31,0.86,0
 24-34,0,2.67,121.92,0,1.68,0.7,0.74,0,0,15.77,0,0,2.26,2.31,27.9,1.32,0,0,0,0,0,0,1.13,15.04,0
 36-46,0,0,17.59,0,0,0,0,0,0,13.43,0,0,0.85,0,9.71,0.81,0,0,0,0,0.59,0,0.8,27.84,0
 48-58,0,0,15.18,0,19.57,0,0,0,0,28.61,0,0,1.11,0,60.69,0,0.41,0,0,0,0,0,2.86,19.15,0
 60-70,0,0,6.51,0,35.46,0,0,0,0,32.93,0,0,0.66,0,69.18,0,0,0,0,0,0,0,0,19.42,1.56
 72-82,0,0,22.17,0,40.63,0.55,1.35,0,0,78,0.73,0,1.32,0,50.26,0,0.61,0,0,0,0,0,0,23.6,0
 84-94,0,9.37,28.24,0,15.84,0,3.01,0.62,0,93.89,0,8.1,0,0,48.09,0,0,0,0,0,0,0,0,19.18,0
 96-106,0,2.66,47.39,0,21.95,0,3,0,0,124.36,0,0,1.45,0,30.04,0,0.8,0,1.9,0,0,0,6.05,13.25,0
108-118,0,0.52,35.01,0.72,17.18,0,5.1,1.64,0,140.83,1.1,0,0,1.21,72.19,0,0,0,0,0,0,0,0,12.02,0
120,0,3.42,67.04,0,4.82,0,23.3,0,0,182.18,0,0,13.49,1.39,51.41,0,0,0,0,0,0,0,0,20.52,0
