stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,immune,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,visceral.smooth.muscle
  3-4,0,43.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.43,0,0,0,4.03,0,0,8.39,0,0,0,0,14,0,0,7.99,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,7.55,0,0,20.19,0,0,0,0,0
 14-21,0,0,2.2,0,0,0,0.93,0,0,2.94,0,0,4.21,0,0,0,7.22,0.83,0,3.18,0
 24-34,0,0,0,0,2.31,0,0,0,0,0,0,0.75,7.91,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.61,0,0,0,0,1.63,0,0,11.53,0,0,0,0,0,0,3.08,0
 48-58,0,0,0,0,0,0.81,0.47,0,0,0.4,2.73,0,4.6,0,0,0,0,0,0,3.53,0
 60-70,0,0,0,1.4,0.59,0,1.95,0,0,0,0,0,3.72,0,0,0,0,0,0,6.52,0
 72-82,0,0,0,0,0,0,1.11,0,0,0,0,0,10.73,0,1.22,0,2.03,0,0,0,0
 84-94,0,0,0,0,4.04,0,0.6,0,0,0,0,0,2.57,0,0,0,1.51,0,0.83,0,2.17
 96-106,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0.58,0,0
108-118,0,0,0,0,1.27,0,1.15,0,0,0,0,0,3.33,0,0,0,1,0,0,0,0.94
120,0,0,0,0,0,0,0,0,2.51,0,0,0,13.83,1.38,0,0,0,0,1.94,0,0
