stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,lateral.line,liver,mesenchyme,mural.cell,neural,olfactory,otic,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0.95,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.67,0,0.9,0,0,0,0,0.79,0,7.17,0,0,1.66,1.72,0,0
 36-46,0,0,0,0,3.44,0,0,0,0,0,0,0,0,1.69,0,3.65,0,0,0,0,0,0
 48-58,0,0,0,0,29.28,0,0,0,0.81,0,0,0,0,0.52,0,17.5,0,0,0,4.61,0,0
 60-70,0,0,0,0,154.78,0,0,0,0,0,5.56,0,0,0,0,26.52,0,0,0,0,0,0
 72-82,0,0,5.97,0,377.15,0,0,0,1.81,0,0,0.79,0.54,4.11,0,24.12,0,0.91,0,1.49,0,0
 84-94,0,1.96,0,0,328.23,0,0,0,0,0,0,0,0,4.8,1.84,17.96,0,0,0,1.9,0,0
 96-106,0,4.46,0,0,371.22,0.86,0,0,2.32,0,0,0,0,0,0,7.21,1.34,0,1.32,0,0.59,0.69
108-118,0,3.2,0,3.09,386.53,0,0,0.64,2.68,0,0,0,0,0,0,5.07,0,0,0,0,0,0
120,0,0,0,1.61,502.38,0,0,0,0,0,6.37,0,0,5.16,0,11.37,0,0,0,0,0,0
