stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.69,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.92,1.85,0.9,0,0,0,0,5.16,0,1.99,6.37,0,0,0,0,0,0,0,4.75,0,1.09
 24-34,0,0,0,1.48,0,0,1,0,0,0,0,5.46,0,0,0,0,0,1.27,0.64,4.49,0,0
 36-46,0,0,0,1.9,0,1.76,0,0,0,0,0.55,21.74,7.35,0,0,0,0.81,0,0,2.95,0.85,0
 48-58,0,0,0,1.85,0,1.58,0,0,0,0,0,17.24,0,0,0,0,0,0,0,2.78,0,0
 60-70,0,0,0,5.01,0,0,0,0,4.39,0,0,16.63,0,0,0,0,0,0,0,11.39,0,0.87
 72-82,0,1.8,0,10.26,0.7,3.83,0,0,0,1.12,0,7.02,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,7.93,0,0.59,0,0,0.8,0,0,12.98,4.99,0,0.79,0,0,0,0,5.4,0,0
 96-106,0,0,0,37.19,0,1.14,0,0,1.72,0,0,0,0,0,0,0.71,0,0,0,4.16,0,0
108-118,0,0,0,2.96,0,0,0,0.53,1.09,0,0,3.56,0.83,3.29,0,0,0,0,0,0.52,0.57,3.98
120,0,3.39,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0
