stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,25.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,32.83,6.41,0,0,4.72,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,1.28,9.1,0.87,0,0,0.84,0,1.32,0,1.01,9.12,0,0,0,0
 24-34,0,0.66,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0.75,53.99,0.6,0,0,0,0,0,0,0,25.63,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.7,0,0,0,0,0,0,1.73,0,40.39,0,0,1.03,0
 48-58,0,0,0,2.57,0,0,12.5,0.46,0,0,0,0,0,2.8,0,0.67,149.5,0,0,0,0,0,0,0.92,0,33.67,0,0,0,0
 60-70,0,0,0,0,0,0,19.14,1.48,1.84,0,0,0.81,1.39,22.71,0.93,0.93,265.75,0,0.89,0.57,0,0,0,0,0,36.75,0,2.56,0,0
 72-82,0,0,0,1.44,0,0,26.2,1.61,4.94,0.61,0,0,0,2.2,4.81,1.98,327.76,0,0,0.49,0,1.67,0,0,0,26.72,1.33,2.55,2.83,0
 84-94,0,0,0,0.69,0,0,30.3,0,4.18,0,0,0,0,3.94,0,0,242.07,0,0,0,0,0,6.7,2.01,0,30.88,0,0,0,0
 96-106,0,0,0,0.84,0,0,30.69,0,3.46,0,0,0,0.79,5.01,0,2.92,247.91,0,0,0,0,5.22,0,0,0,19.61,1.47,0,1.49,0
108-118,0,0,0,0,5.81,1.99,26,0,10.79,0.86,0,0,0,5.14,0,0,361.56,0,0,0,0,16.08,0,0.47,0,4.03,3.21,0,0,0
120,0,2.94,1.28,2.81,0,0,102.87,0,17.36,0,0,0,0,0,0,0,643.87,0,0,2.84,0,11.51,0,0,0,12.23,0,0,0,14.75
