stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature
  5-6,11.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,0,0,0,0,9.6,0,0,0,0,0
 14-21,0,1.03,1.64,0,0,0,0,0,0,0,0,0,0,48.67,0,0,0,0.97,4.85,0,0,13.25,0,0,0,1.34,0,1.39,4.67,0,0,0
 24-34,0,0,0,0,0,1.21,0,0,0,0,0,0,0,68.83,0,0,0,4.69,5.42,0,0,28.91,2.25,0.6,0,0,0,0,10.9,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.58,0,0,1.22,56.94,9.75,0,0,2.3,0,0,7.36,0,0,0
 48-58,0,0,3.04,0,0,2.1,0,0,2.38,0,0,0,0,0,0,0,0,4.6,0.51,0,1.6,52.11,0,0,0,0,0,0,21.2,0,0,0
 60-70,0,0,0.75,0,0,6.1,0,0,11.26,4.47,0,0,0,0,0,0,0,2.12,0,0,0,55.71,0.98,1.23,0,0,0,0,9.75,0,0,0
 72-82,0,0,0.56,0,0.52,2.81,0,0.57,0.65,39.05,1.11,0.81,0,1.81,0,0,0,2.8,0,0,0.67,36.8,0,0,0,0,0,0,3.4,1.87,0.87,0.6
 84-94,0,0,2.54,0.61,1.09,12.2,1.42,0,0,91.7,0,1.5,0,9.77,0,0,0,7.84,0,0,0,27.41,0,2.22,0,1.49,1.4,0,7.02,3.86,0,1.23
 96-106,0,0,13.69,5.8,0.57,19.98,0,0,12.65,284.84,0,0,0.79,3.6,0,1.41,0,8.69,24.12,0,0,44.47,0.75,0,0,7.13,0,0,0,8.9,0,7.8
108-118,0,0,10.03,1.37,13.81,9.94,1.37,0,4.15,465.16,0,0.69,0,3.16,0.44,0,1.52,9.4,6.28,0.63,0.64,69.53,1.38,0.83,0,1.37,0,0,0.42,15.5,0,4.97
120,0,0,5.6,14.08,0,33.46,2.23,6.09,9.95,267.71,0,0,0,9.63,0,0,12.82,5.97,13.04,0,0,72.13,1.45,0,9.96,0,0,0,0,10.4,0,8.01
