stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,14.3,0,0,0,0,14.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,16.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,31.96,0,0,0,8.1,11.52,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8.06,423.11,2.18,0,5.12,0,0,0,0,2.2,0.86,0,0,9.85,0,0.92,7.14,1.06,3.82,0,1.06,38.9,0,0,0,0,389.85,1.65,0,1.83,0,5.25,0,0,0,0,0
 24-34,0,0,2.2,523.35,0.8,0,9.99,0,18.06,0,1.94,1.74,0,0.94,0,14.22,0,1.56,14.04,3.3,11.07,0,0,89.92,7.94,3.22,0,0,1087.19,0,4.49,1.16,1.53,11.88,0,0,5.46,0,0
 36-46,0,0,0,376.77,0,0,27.71,0,47.6,0,2.64,2.31,0,0,0,41.47,0,0,3.4,6.6,11.72,0,1.31,85.34,0.8,3.98,7.32,0,1116.69,0,2.64,1.39,0,14.62,0,0,0,0,2.24
 48-58,0,0,0,287.94,0,0,18.24,0,54.01,0.51,4.5,1.31,0.75,0,0,3.46,0,1.8,7.22,5.99,1.8,0,2.75,101.1,0,4.6,0,0,698.86,0,0.45,4.12,0,16.07,0,0,0.46,0,2.71
 60-70,0,0.62,0,350.02,0,0,26.77,0,41.03,0,7.57,3.89,0.89,0,0,11.03,0,2.56,2,6.8,5.56,6.65,0,46.94,1.63,4.07,0.78,0,579.99,0,10.91,0,0,1.26,24.77,0,0,0,0
 72-82,0,0.86,0,184.72,0.65,0,12.86,0,25.9,0,4.2,14.17,0,0,0.54,11.51,0,1.92,12.34,17.75,4.15,0,1.06,34.55,7.76,7.8,0,0,252.76,0,2.11,0,0,0.66,109.24,0,0.96,0,3.71
 84-94,0,0,0,299.19,0,0,18.33,0,57.92,0,2.53,22.62,0,0,0.66,35.15,1.24,2.52,12.91,10.56,1.91,0,1.88,18.38,1.46,3.32,0,0,753.67,0,1.91,0.78,0,0,353.69,0,1.35,0,0
 96-106,0,0,0,265.33,0.85,0.97,13.53,0,45.15,0,5.78,50.99,0,0,1.65,23.11,0,5.01,26.5,16.4,6.37,1.02,0.93,55.9,0,8.03,0.64,0,558.87,0,0,0.57,0,0,405.91,2.82,0,1.43,0
108-118,0,0,0,237.54,0,0,3.61,4.34,60.66,0.65,1.39,48.37,0,1.42,4.25,33.64,0,0.98,11.47,12.99,6.07,0,0,28.42,1.01,2.34,0,0,490.94,0,2.55,0.41,0,0.65,411.09,0,4.71,0,0.82
120,0,0,0,263.56,0,0,16.53,0,49.7,0,0,70.21,0,0,3.7,38.76,0,1.15,3.07,23.64,2.14,0,2.81,94.39,0,1.7,0,0,259.5,0,1.12,0,0,2.39,139.47,0,2.72,0,0
