stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,11.37,246.15,58.69,0,35.68,0,0.82,0,29.75,17.62,0,1.13,0,8.6,0,0.92,1.46,2.53,92.15,0,0,76.81,730.6,23.19,6.31,3.97,17.22,0,25.62,109.35,13.14,7.35,123.7,217.03,0,0,20.59,0,0
 24-34,0,2.25,4.59,66.9,5.75,0,80.35,0,8.16,4.44,39.12,2.99,0,5.36,12.87,12.07,5.52,4.96,1.29,5.24,195.31,3.53,1.72,70.87,967.16,3.72,7.25,16.5,0,1.61,73.34,2.32,15.59,2.42,18.56,253.29,0,0,80.68,0,23.95
 36-46,0,0,0.56,50.46,14.63,0,108.61,1.82,11.86,4.3,67.04,3.45,0,2.16,19.39,24.4,1.66,2.56,1.59,26.67,177.43,3.1,2.98,34.29,603.5,3.13,10.24,6.75,0,0,80.01,0,6.05,0,0.83,189.31,0,0,57.69,0,11.43
 48-58,0.39,0,0.51,36.47,0,0,133.23,1.26,6.06,15.95,134.76,1.59,0,1.9,4.69,4.81,14.89,5.76,2.61,9.75,233.12,2.84,7.86,52.42,399.16,3.15,7.61,3.12,0,0,36.01,0,10.33,0,0,90.17,0,1.33,20.02,0,15.26
 60-70,0,0,0,55.45,1.37,0,85.36,0.83,12.47,2.9,83.77,5.64,0,2.73,9.33,2.48,6.39,3.61,8.67,0,200.9,0,9.05,22.81,205.59,0,4.98,14.47,0,2.16,45.34,0,2.36,4.57,0,24.94,0,6.12,14.96,0.85,1.82
 72-82,0,6.62,0,22.13,1.36,0,72.24,3.87,17.95,17.75,132.82,9.81,0.55,3.09,26.79,3.23,8.11,5.65,3.46,0,272.34,1.21,8.57,15.41,128.09,0,5.58,7.89,0,3.89,22.53,0,1.94,0,0,15.88,6.09,4.42,52.69,5.71,2.38
 84-94,0,5.15,1,43.4,5.12,0.59,84.71,5.11,11.71,1.36,78.39,25.07,1.94,0,10.03,6.09,7.1,4.59,2.76,9.64,196.9,0.93,13.75,16.67,99.14,8.54,2.46,8.54,0,11.64,53.22,0,4.78,1.22,0,5.48,7.15,9.51,26.94,6.63,17.27
 96-106,0,7.46,0,42.15,13.06,1.12,89.02,3.06,2.07,9.69,70.84,21.84,1.32,12.16,20.63,11.79,9.21,4.76,26.3,1.34,223.45,3.48,16.51,26.59,80.45,1.52,22.23,16.17,0,2.7,48.84,0,3.22,0,0,12.07,8.19,14.09,60.89,19.14,0
108-118,0,1.22,0,56.96,5.61,4.29,100.06,0,15.4,6.7,84.91,23.9,0,4.8,19.81,8.84,8.39,8.23,7.49,0.44,179.51,8.02,7.72,23.5,108.89,0.67,18.25,4.69,0,16.35,51.04,0,2.34,0,0,1.99,8.52,3.97,38.79,4.38,10.17
120,0,2.94,0,44.57,2.82,0,50.9,0,14.54,42.83,45.26,55.93,0,8.17,16.34,2.3,15.33,11.14,0,3.24,197.52,3.06,11.98,18.4,145.91,1.12,31.67,10.05,0,2.03,28.61,0,3.4,0,0,2.14,7.53,13.58,59.11,14.09,0
