stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0,0,8.49,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.34,0.81,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,2.64,0,0,1.29,48.47,0,0,0,0.74,0,9.73,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,123.37,0,0,0,0,0,9.67,0,0,0,0,0
 48-58,0,0,0,0.37,0,0,18.39,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,212.21,0,0,0,2.72,0,1.93,0,0,0.55,0,5.03
 60-70,0,0,0,0,0,0,123.05,0,0,6.12,0,0,0,0,0,0,0,4.37,0,0,1.43,517.53,0,6.8,0,0,0,11.94,0,0,0,0,0
 72-82,0,0,0.56,4.46,0,0,188.41,0,0,6.15,0,0,0,0,0,0,0,6.58,0.93,0,0.61,736.97,1.29,1.64,0,0.81,0,26.28,0,0,1.6,0.91,0
 84-94,0,0,0,5.68,0,0,136.96,0,0,3.41,0,0,0.64,0,0,0,0,9.49,0,1.2,2.52,504.17,0,0.72,0,2.17,0,7.28,0,0.63,5.21,0,0
 96-106,0,0,0,0,2.27,0.66,160.76,1.69,0,7.92,2.23,0,0,0,0,1.13,0,2.67,2.42,1.02,0,737.1,0,1.34,0,2.2,0.67,1.93,0.81,1.31,0,0,0
108-118,0,0.57,0,4.93,0,0,109.82,0.59,0.56,7.16,0,0,0,0.58,0,0,0,11.85,0,0,1.46,592.99,0.77,0,0,0,0,8.45,0,0,0.45,0,0
120,0,0,0,13.51,0,0,167.38,0,0,9.39,6.94,0,2.16,0,0,0,20.22,20.66,0,0,0,929,3.27,0,0,3.8,0,26.4,0,0,1.23,0,6.17
