stage,endocrine_pancreas,epidermis,eye,glial,immune,ionocyte,mesenchyme,mural_cell,neural,notochord,olfactory,otic,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,3.72,9.28,0,0,4.1,0,0
 24-34,0,0,0.71,0,0,0,0,0,23.57,0,2.74,0,35.32,0,0
 36-46,0,0,1.81,0,0,0,0,1.14,43.79,0,5.99,0,19.44,0,0
 48-58,0,0,0.76,0,0,0,0.68,0,19.95,0,12.58,0,8.38,0,0
 60-70,0,0,15.02,0,0,0,1.72,0.66,62.85,0,4.4,0,13.95,0,1.54
 72-82,0,1.44,24.88,2.34,0,0,0.97,0,62.81,0,10.86,0,2.1,0,0.52
 84-94,0,0,24.98,0,0,0,3.88,0.75,86.7,0,16.07,2.45,2.19,6.34,1.17
 96-106,0,0.9,18.37,3.83,0,0,2.18,0.9,55.65,0,9.83,0,0,0,0.93
108-118,0.41,2.65,20.65,2.17,0,0,0,0,58.82,0,8.15,0,3.31,0,0
120,0,0,43.05,11.15,1.34,1.63,0,0,149.62,0,11.18,0,0,0,0
