stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,16.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,37.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.24,0,0,0,0,10.41,0,0,0,0,0,0,0,0,0,0,56.08,11.18,0,23.1,0,0,0,0,0,0
 10-12,0,0,8.38,0,0,24.39,0,0,0,0,0,0,0,0,0,0,40.73,18.42,0,30.27,0,0,0,0,0,0
 14-21,0,0,0,5.71,30.67,2.61,0,0,0,0,12.73,0,0,0.97,0,2.9,11.08,12.44,0,0,1.46,5.15,7.62,0,0,0
 24-34,0,0,0,0,7.81,2.49,0.8,0,1.05,0,53.89,0,0,10.8,0,0.99,60.21,0.69,4.76,0,0,1.36,12.1,0,2.75,0
 36-46,0,0,0,0,0,3,0,0,0,0,34.61,0,0,12.3,0,0,40.55,0,0,0,0,0,10.26,0,0,0
 48-58,0,0,0,0,0.44,3.97,0,3.46,1.96,0,46.29,0,0.39,3.15,0.95,0.44,24.52,0,0.49,0,0,0,6.29,0,0,0
 60-70,0,0,0,0.9,0.63,7.46,0,0,0,0,52.58,0,0,2.1,0,0,40.72,0,0,0,0,0,3.58,0,2.25,0
 72-82,0,0,0,1.07,0,8.35,0,0,1.08,0,75.19,0,0,4.9,0,3.56,18.53,0,0,0,0,0,2.33,0.61,6.41,0
 84-94,0,0,0,5.69,0.66,2.99,0,0,0.68,0.76,102.59,0,0,7.32,0,1.23,17.88,2.17,0,0,0,0,1.19,0,6.94,0
 96-106,0,0,0,2.29,5.03,9.06,0.56,0,0.75,0,129.3,1.03,0,2.67,0,4.22,12.88,0,1.74,0,0,0,0,0,1.72,3.01
108-118,0,0,0,0,3.12,8.12,0.52,0,1.51,0.45,124.03,0,0,4.35,0,8.42,11.96,0,0,0,0,0,0,0,2.85,0
120,0,0,0,1.81,10.03,12.3,0,0,0,0,201.58,2.87,0,4.63,0,7.65,30.05,0,0,0,0,0,0,0,5.76,0
