stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,329.2,6099.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.29,0,0,0,0,0,0,0,0,0,0
  5-6,279.68,4388.29,0,22.82,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,173.78,0,0,0,15.67,0,75.71,0,0,0,0,0,0,0,0,0,0
  7-9,65.99,184.08,0,141.86,0,0,0,766.03,0,0,0,0,0,78.09,0,0,0,0,0,0,0,0,0,0,0,4112.08,130.28,0,0,1418.18,0,0,73.56,0,0,0,0,0,0,0,0,0
 10-12,0,158.98,0,188.81,0,41.84,0,672.81,0,0,0,0,0,58.2,0,0,0,0,0,0,0,0,0,0,0,5126.85,223.29,0,0,1585.53,0,0,80.93,21.54,140.37,16.72,3.28,0,0,0,0,0
 14-21,0,0,0.8,11.06,67.55,36.49,0,73.82,0,0,0,15.28,3.18,0,0,0,1.77,0,1.14,0,0,40.08,0,0,35.56,778.81,26.8,1,5.31,10.98,0,3.84,3.15,68.84,1.79,77.68,203.11,0,0,2.89,0,1.92
 24-34,0,0,0.84,1.61,30.08,2.85,0,168.05,0,2.17,0.68,21.05,0.61,0,0.8,0.69,3.89,0,0,1.33,0,92.98,1.5,0,29.86,959.49,5.76,1.31,11.88,1,0,21.01,0,0,0,2.09,135.78,0,0,22.13,0,0
 36-46,0,0,0,0,15.43,0,0,173.73,1.93,2.61,1.36,32.3,0.58,0,0.56,0.78,10.14,0.83,1.45,0.89,0,54.25,1.31,0.85,8.89,461.33,2.78,6.09,1.65,0,0,22.12,0,0,1.3,0,74.15,0,0,3.6,0,1.44
 48-58,0,0,0,0,22.05,3.54,0,180.11,0,0,1.27,19.51,2.44,0,0,0,1.43,6.8,7.77,0.79,0,56.64,0.91,3.33,11.37,223.13,0,0,5.04,0,0,0.47,0.56,0,0,0,31.6,0,0,2.19,0,0
 60-70,0,0,0.82,0,10.49,1.68,0,130.1,0,0,1.98,42.5,6.58,0,0,1.01,0,0,1.13,2.37,0,35.61,5.62,0,9.9,117.13,2.86,1.42,1.82,0,0,0,0,0,0.6,0,5.65,2.79,0,7.62,1.54,0
 72-82,0,0,10.79,0,6.97,1.82,0,36.09,0,0,6.02,28.79,8.79,0,0,0,4.37,0,1.67,0,1.79,61.4,4.96,1.57,9.31,99.23,13.38,1.29,0.76,0,0,0.99,0,0,0,0,11.14,2.35,2.61,8.74,0,9.06
 84-94,0,0,16.11,0,17.08,5.42,1.39,50.65,1.38,4.57,1.38,21.69,11.47,0,0,1.27,0,2.34,2.23,8.93,0.98,53.6,0.58,11.29,17.22,85.27,8.09,0,4.37,0,0.57,9.7,0,0,0,0,10.97,1.78,0.71,10.46,0.89,0
 96-106,0,0,5.92,0,13.59,3.21,0.8,33.37,0,0,1.92,23.66,23.19,0,1.98,1.82,0.66,0,0,10.31,0,39.66,0,1.86,3.52,52.92,1.8,2.33,1.61,0,0,4.1,1.35,0,0.67,0,0.84,0,1.03,8.67,0,0
108-118,0,0,2.57,0,16.15,4.04,1.48,43.24,0,0,3.83,51.32,14.92,0,0,2.14,2.28,0.69,0,5.47,0.61,42.98,0,0.49,9.78,112.59,1.08,1.35,1.46,0,1.82,1.84,0.79,0,0,0,0,3.42,0,5.13,0,8.42
120,0,0,22.73,0,30.75,14.77,0,48.49,0,4.25,2.55,70.08,28.6,0,1.54,5.76,0,2.88,0,1.89,0,91.95,1.72,3.51,18.13,155.78,1.62,0,1.43,0,0,1.37,0,0,0,0,16.52,0,5.53,2.59,0,0
