stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,12.63,146.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0
  5-6,0,150.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86,0,0,0,0,0,0,0
  7-9,0,16.62,0,0,0,0,12.47,0,0,0,0,3.2,0,0,0,0,0,0,0,0,70.74,0,0,0,17.47,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.07,0,0,23.57,0,0,0,0,0,0,0,0,0,0,0,0,0,127.19,3.56,0,0,38,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,0,4.71,0,1.67,0,0,0,0,0,0,0,0,0,2.27,0,0,7.85,63.74,0,0,0,0,0,0,3.57,0,3.14,22.04,0,0,0
 24-34,0,0,0,0.71,1.21,0,4.18,0,0,0,0,0,0,0,0.63,0,8.43,0,0,1.41,46.75,0.68,0,0,0,0,0,0,0,1.03,6.71,0,0,0.66
 36-46,0,0,0,0,1.48,0,14.87,0,0,0,0,0,1.45,0,0,0,5.7,0,0,3.03,75.86,0,1.31,0,0,0,0,0,0,0,17.06,0,0,0.81
 48-58,0,0,0,0,0,0,23.01,0,0,4,0.51,0,0.78,0,0,1.77,5.61,0,0,1.08,32.09,0,0,0,0,0,0,0,7.59,0,11.46,0,0,0.5
 60-70,0,0,0,0,2.52,0,12.4,0,0,0.74,0,0,0,0,0,0,8.46,0,0,0,51.73,1.1,0.89,0,0,0,0,0,0,0,2.49,0,0,1.82
 72-82,0,0,0,0,0,0,24.68,0,0,3.45,1.62,0,0,0,0,0,4.8,0,0,0,31.86,0,0,0,0,0,0.83,0,0,0,0.66,0,0.66,0
 84-94,0,0,0,0,4.09,2.57,10.37,0,0,6.54,1.97,0,0,0,0,0,4.25,0,0.95,0.56,15.2,0,5.85,0,0,2.3,1.55,0,0,0,0.85,0.72,0.9,1.23
 96-106,0,0,0,0,0,0,7.05,0,0,9.04,0.85,0,2.41,0.78,0,0,5.16,3.08,0,0,12.87,0,0,0,0,0,0.73,0,0,0,5.42,0,0,0
108-118,0,0,0,0,0.54,0,21.08,0.59,0.56,8.84,1.28,0,0,0,0.47,0,10.22,2.35,0,1.03,41.84,0,0,1.97,0,1.97,0,0,0,0,1.99,0,0,1.21
120,0,0,0,0,0,0,6.88,2.51,0,9.18,2.51,0,0,0,0,0,19.33,0,0,5.39,70.62,1.62,0,2.74,0,0,1.71,0,0,0,8.59,0,0,1.72
