stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,9.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.16,0,0,0,6.73,0,0,0,0,0,0,0,0
 14-21,0,0.82,0,0,0,0,0,0,0,0,0,0.93,1.95,2.45,0,0
 24-34,0,0.63,0,0.84,0,1.23,0,12.8,0.78,0,1.67,0,0,1.73,0,0
 36-46,0,0,0,0,0,0.7,0,8.37,0,0,0.59,0,1.3,0,0,0
 48-58,0,0,0,0,0.84,0.86,0,13.87,0,0,0,0,2.86,0.59,0,0
 60-70,0,3.84,0,0,0,0,0,1.58,0,0,0,0,0,1.05,0,0
 72-82,0,0,1.15,0,1.34,3.06,0,3.74,0,0,0.62,0,0,0,1.42,1.32
 84-94,0,0,0,0,0,6.09,0.57,7.33,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.59,0,0,0,6.36,0,0,3.38,0,0,0,0,1.88
108-118,0,5.15,0,0,6.34,1.63,0,3.36,0,0,3.8,0,0.43,0,0,0
120,0,0,0,0,0,0,0,0,0,4.51,1.42,0,0,0,0,0
