stage,eye,glial,mesenchyme,muscle,neural,spinal.cord
 24-34,0,0,0,0,1.09,0
 36-46,0,0,0,1.57,0.56,0.9
 48-58,0,0,0,0,3.24,1.42
 60-70,0,0,0,0,2.07,0
 72-82,0,0.67,1.24,0,2.68,0
 84-94,0.97,0,2.59,0,2.37,0
 96-106,0,0,0,0,2.01,0
108-118,0,0,0,0,7.9,0
120,3.66,0,0,0,0,0
