stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,13.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.07,0,0,0,0,0,0,0
  7-9,8.7,0,8.89,0,0,23.94,0,0,0,0,8.31,0,0,0,0,0,0,143.78,6.86,0,0,53.78,0,6.2,0,0,0,0,0
 10-12,0,0,4.09,0,0,15.76,0,0,0,0,3.85,0,0,0,0,0,0,123.98,3.56,0,0,33.57,0,0,0,0,0,0,0
 14-21,0,0,0,4.95,0,0.99,0,0,1.08,0.87,0,0,0,0,0,0,0,10.1,0,0,0,0,1.52,0,1.66,1.28,5.81,6.14,0
 24-34,0,0,0,0.75,0,0,0,0,1.72,0,0,0,0,0,3.35,0,0,10.1,0,0,0.84,0,4.32,0,0,0,0,1.82,0
 36-46,0,0,0,7.73,0.67,6.17,0,0,0,0,1.26,0,0,0,0,0,0.8,23.3,0,0,0,0,0,0,0,0,0,5.39,0.68
 48-58,0,0,0,2.18,0,2.36,0,0,0,0,0,0,0,0,1.3,0,0.61,9.3,0,0,0,0,0,0,0,0,0,2.83,0
 60-70,0,0,0,4.29,0,16.17,0,0,0,0,0,0,0,0,1.9,0,0,29.59,0,0,0,0,0,0,0,0,0,3.22,0
 72-82,0,0,0,3.21,0,10.9,0,0,0,0,0,0,0.69,0,5.74,1.53,0,21.77,0,0,0,0,0,0,0,0,0,1.14,0
 84-94,0,0,0,0,0,1.34,0.69,1.93,0,1.03,0,1.31,0,0,3.29,0,0,3.78,0,0,0,0,0,0,0,0,0,1.24,0
 96-106,0,0,0,8.52,0,3.88,0,0,0,0,0,0,0,4.87,0,0,0,13.63,0,0,0,0,0,0.7,0,0,0,0,3.35
108-118,0,0,0.74,0.44,0,2.93,0,0,0.62,0,0,0,0,0,0,0,0,19.01,0,0,0,0,0,0,0,0,0,1.1,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0
