stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,1.05,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.49,0,3.47,0,0,22.54,0,0,0,0,0
 24-34,3.46,0,0.65,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,230.15,0,9.2,0,0,75.57,0,0,0,0,0
 36-46,0,0,0,0,29.98,5.85,0,1.07,0,0,0,0,0,0,0.74,0,0,0,549.44,0,15.86,0,0.82,98.69,0,0,0,0,0
 48-58,1.13,0,12.95,0,150.04,0,0,3.61,0,0,0.47,0,0,0,2.88,0,0.43,0,787.85,13.95,9.27,0.42,0,152.35,0,0,0.77,0,0.39
 60-70,0,0,2.51,0,408.63,0,8.4,13.47,0,0,4.97,0,0,0,11.81,0,0,0.8,1178.66,3.11,10.46,0,4.23,145.23,0,0,0,0,0
 72-82,2.43,0,2.79,0,441.25,0.73,0.94,20.28,1.23,0,0.59,0,0,0.89,16.61,0,0,0,981.91,0,10.42,0.74,3.06,101.64,3.98,0.78,1.14,1.22,7.14
 84-94,4.07,0,0.73,0,307.64,0,0.67,12.17,3.04,0,0.93,0,3.68,0,7.07,0,0,0,766.08,0,1.84,2.05,0,89.58,0,0,1.61,0,0
 96-106,0,0,9.02,13.51,286.9,0,1.65,24.97,0.85,0,0,1.23,0.87,0,13.98,0,0,0,598.02,0,2.39,1.2,0.67,21.71,2.03,0,0.68,0,0
108-118,0,0.59,2.18,0,214.63,0.99,0,12.25,0.95,0,0,0,0,0,4.91,0,0.72,0,633.83,0.69,6.05,1.9,3.78,20.42,1.34,0,0.55,0,4.31
120,8.41,0,6.75,0,206.92,2.41,0,5.13,6.94,0,17.39,0,0,0,13.88,1.65,0,0,743.41,0,3.89,0,0,19.13,0,0,0,0,0
