stage,eye,fast.muscle,liver,muscle,neural
 60-70,0,3.27,0,0,0
 72-82,0,4.81,0,5.38,0
 84-94,0,12.84,0,0.59,0
 96-106,2.25,45.97,1.21,4.5,0.56
108-118,0,23.34,0,2.5,0
120,4.46,36.45,0,2.15,0
