stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,107.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.94,0,0,0,0,0,0,0,0
  5-6,10.74,103.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.49,0,8.2,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,95.34,3.7,0,0,37.85,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.06,0,0,27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,60.78,5.15,0,0,26.2,0,0,5.21,0,0,0,0,0,0
 14-21,0,0,0,8.53,0.93,0,0,0,0,0,0,0,0,0,0,0.95,0,0,6.11,33.17,3.43,0,0,0,0,5.24,0,4.97,5.15,0,0,0,0
 24-34,0,0,0.65,2.2,0,4.54,0,0,1.75,0,0.67,0.92,1.01,0,0,6.82,0,0,0.99,53.41,0,1.06,0.82,0,1.98,0,0,1.69,6.94,0,1.38,0,0
 36-46,0,0,0,0,0,13.09,0,0.71,3.17,0,0,1.37,0,0,0,2.94,0,0,2.02,53.73,0,0.64,0,0,5.68,0,0,0,8.19,0,0.61,0,12.67
 48-58,0,0,0,0,0.8,14.8,5.9,0,13.8,0,0,0,0,0,0,7.39,0,2.41,0,22.33,0,0.88,0,0,0,0,0,0,10.44,0,0,0,0
 60-70,0,0,0,0,0,12.62,0,0,1.83,1.82,0,0,1.39,0,19.85,6.73,0,0,0.72,39.34,0,0,2.23,0,0,0,0,0,3.45,0,0,0,4.75
 72-82,0,0,0,2.34,0,13.83,0,0,6.29,0,0,0,0,0,0,8.76,0,0,1.31,21.51,0,0,1.06,0,1.27,0,0,0,2.09,0.62,0,1.22,0
 84-94,0,0,0,5.22,2.14,12.85,0,0,3.44,0,0,0.57,0,0,0.96,12.95,1.22,0,2.49,24.03,0.57,0,0.72,0,3.85,0,0,0,0,0,0,0,6.56
 96-106,0,0,0,0.58,0,10.01,0,0,0.86,0,0,1.05,0,0,0,5.52,0,0,1.1,11.22,0.58,2.7,0,0,1.18,0,0,0,0,0,0.67,0,1.65
108-118,0,0,0,0.97,0.55,9.65,0,1.04,2.08,0,0,2.57,0,0.43,0,2.43,0,0,0,12.06,0,1.41,0,0,1.66,0,0,0,1.73,0,0,0,3.73
120,0,0,0,1.46,0,4.26,0,4.41,0,1.66,0,0,0,0,0,15.8,0,0,2,12.8,0,0,2.45,0,1.1,0,0,0,0,3.57,0,0,0
