stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,62.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.58,76.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,0,0,4.29,0,0,0,0,0,0,0,0
 10-12,0,0,16.48,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,6.49,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,5.74,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,17.3,0,0,0,0,0,0,0.83,0,0,0.73,18.57,0,0,0,0.74,0,0,6.75,0,1.67,0,0
 36-46,0,0,0,0.83,0,64.01,0,0,0,1.03,0,0,0,0,0,0,20.02,0,0,0,0.58,0,0,5.03,0,2.41,0,0
 48-58,0,0,0,0,0,150.81,0,0.48,0,0,0,0,1.27,0,0,0,25.51,0,0.45,0,0,0,0,6.92,0,0,0,0
 60-70,0,0,0,0,0,863.38,0,8.94,0,0,0,0.84,2.75,0,0,0,15.99,0,0.94,0,0.63,0,1.29,5.6,0,0,0,0
 72-82,0,0,0,1.36,0,578.69,0.61,7.03,0,0,0.64,0,3.28,0,0,1.26,31.33,0,1.48,0,0,0,0,8.44,0,0,0,2.83
 84-94,0,0,0,1.53,0,636.93,1.51,11.7,0.66,0,0,0,8.54,0,1.03,0,12.35,0,0,0,0,0,0,0,2.69,0,1.2,0
 96-106,0,0,0,0,0,173.37,0,0.67,0,0,1.33,0,7.03,3.31,0,0.62,9.41,0,0,0,0,0,0,2.52,0,0,3.11,0
108-118,0,0,0,0.58,7.17,245.21,0,1.05,0.45,0,0.42,0,4.02,0,0,0,22.59,0.41,0,0,0,1.83,0,0,0,0,0,0
120,0,0,0,20.6,0,195.02,0,0,0,0,0,1.62,0,0,0,0,33.77,4,0,0,1.35,0,0,0,0,0,0,0
