stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vasculature,xanthophores
  3-4,36.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0
  7-9,0,5.11,0,0,0,0,0,0,0,0,0,0,0,0,7.65,0,0,5.1,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.62,0,0.67,0,0,1,2.59,0,0
 36-46,0,0,1.82,0,0.78,0,0,0,2.35,0,0,0,0.83,0.56,241.22,0,0,0,0,0,9.44,0,0
 48-58,0,0,0.45,0,6.14,0.51,5.69,0.86,0,0,0,0,3.25,0,172.2,0,0.59,0,0,0,8.46,0,0.48
 60-70,0,0,0,0,29.88,0,0,0,0,1.27,0,0,0,0,294.29,0,0,0,0,0,11.22,0,0
 72-82,0,0,2.34,0,100.21,0,0,1.68,2.35,0,0,0,1.13,0,363.92,0,0,0,1.4,0.54,21.73,0,0
 84-94,0,0,0,0,66.51,0,0,0,9.35,0,0,0,1.73,0,257.8,0,0.76,0,0,0,3.23,2.57,0
 96-106,0,0,0,3.05,93.71,0,0,0,2.21,1.39,0,0,2.85,0,285.44,0,0.6,0,0,5.23,3.09,0.64,0
108-118,0,0,10.89,0,94.92,0,0,0,8.37,0.43,0.91,0.93,0.73,0,362.58,0.7,0,0,0,0,13.25,0,0
120,0,0,0,0,109.24,0,0,0,16.31,0,0,0,0,0,544.25,0,0,0,0,2.21,20.05,0,0
