stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,23.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46,0,17.31,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.85,2.07,0,0.93,0,0,0,0,5.75,0,0,0,0,0,0,0,7.49,4.95,0,0,1.06,3.92,0,125.83,192.6,1.32,0,0,0,0
 24-34,0,0,0,0,0,2.03,9.18,0,0,0,0,0.71,0,0,0,7.36,0,0,15.53,31.71,0,0,0.83,0,0.6,24.95,93.22,5.16,0,0,0,0
 36-46,0,0,0,0,0,1.6,18.99,0,0,0,0,0,0,0,0.86,0.75,0,0,2.12,45.63,0,0,2.56,0,0,7.34,1.09,7.91,0,0,0,0
 48-58,0,0,0.66,0,0,8.54,11.14,0,4.47,0,0,0,0,0,0,5.71,0,0,13.59,20.69,1.01,0,3.08,0,0,14.34,0,6,0,0,2.13,0
 60-70,0,0,0.57,0,0,16.98,11.78,1.38,2.66,0,0,0,0,0,0,5.86,0,0,0,37.71,0,0,2.56,0,0.59,3.09,0,2.39,0,0,0,0.79
 72-82,0,0,0,0,0,10.91,7.46,0,0,0,0,0,0,0,0,0.85,1.89,0,0.95,15.22,0,0,1.97,0,0,1.73,0,2.93,0,0,0,2.29
 84-94,0,3.88,0,0,0.87,14.6,6.97,0,0,0,0,0,0,0,0,4,3.03,0.95,10.88,4.47,0,0,0.84,0,0,5.75,0,3.81,2.04,0.77,0,10.31
 96-106,0,0,0.65,1.19,0.6,3.79,17.46,0,1.66,0,0,0,0,0,0,4.31,0,0,0.62,33.34,0,0,0.83,0,0,4.49,0,0,0.59,0,0,13.48
108-118,0,0,2.35,8.14,0.61,3.57,8.38,0,0,0.58,0,0,2.34,2.12,4.99,2.66,0,0,4.29,19.15,0,0,3.04,0,0,5.31,0,0,2.39,0,0,6.01
120,0,0,6,0,0,17,8.19,0,5.57,0,0,2.62,0,0,0,0,0,0,2.58,8.69,0,0,0,0,0,0,0,0,0,0,0,0
