stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,59.84,795.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.36,0,0,0,0,0,0,0
  5-6,123.74,1240.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.56,0,0,0,9.67,23.97,0,0,0,0,0,0,0
  7-9,23.18,19.43,26.98,0,0,109.37,0,0,0,0,11.55,0,0,0,0,0,0,0,0,0,0,674.68,31.85,0,0,237.92,6.68,5.28,0,0,0,0,0,0
 10-12,0,37.85,36.63,0,6.05,132.16,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,517.17,32.24,0,0,154.13,0,0,0,13.21,7.71,0,0,0
 14-21,0,0,0,8.06,3.87,3.02,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0.88,65.8,1.29,0,0,0,1.43,0,9.34,0,6.63,19.33,0,0
 24-34,0,0,0,5.82,0,18,0,0,7.22,0,0,0.89,0,1.67,0,0,0,19.41,0,0,4.98,150.13,0,0,0.69,0,3.32,0,0,0,2.58,39.15,5.25,0
 36-46,0,0,0,11.47,2.33,17.08,0,0,4.59,0,0,0,9.93,12.26,0,0,0,21.88,0,0.67,6.29,144.17,0,0,0,0,7.95,0,0,0,0,27.02,0,0
 48-58,0,0,0,8.84,0,42.36,0,0.43,17.14,0,0,0,0,0,0,1.93,0,13.37,0,0.5,1.46,136.73,0,0.38,0.39,0,3.64,0,0,0,0,18.88,0,0
 60-70,0,0,0,1.58,0,35.94,8.54,0,8.91,1.91,0,0,0,0,0,0,2.08,34.95,0.85,0,1.89,164.3,0,0,3.85,0,0,0,0,0,0,16.31,0,0
 72-82,0,0,0,2.71,0,54.32,0,0,3.98,0,0,0,0.72,0,0,0,0,25.5,0,0,0.61,90.86,0,0,2.26,0,0,0,0,0,0,15.65,0,1.16
 84-94,0,0,0,1.87,0,19.61,1.1,0,7.94,1.45,0,0,0,2.09,4.09,1.46,0,6.91,0,0,0.68,65.83,2.32,0,0.95,0,1.09,0,0,0,0,3.63,8.31,0
 96-106,0,0,0,4.86,0,7.7,0,0,3.2,0.73,0,0,2.62,0,0,0,0,15.42,0,0,0,62.66,0,0,0,0,2.11,0,0,0,0,6.83,3.08,0
108-118,0,0,0,2.78,1.36,7.85,0,0,6.18,0,0,0,0.5,0,0,0,0,16.36,0,0,1.75,67.21,0,0,1.32,0,0.6,0,0,0,0,10.24,0,1.26
120,0,0,0,5.34,4.24,56.87,1.11,0,47.46,0,0,0,0,0,0,0,0,10.63,0,1.45,0,204.83,0,0,0,0,0,0,0,0,0,1.57,0,0
