stage,blastomeres,erythrocytes,eye,glial,hatching.gland,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,16.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,11.17,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,1.12,0,0,0,0,0,0.65,0,10.46,2.81,0,0,0
 48-58,0,0,0.58,0,0,0.4,0,0.43,0.6,0,5.84,0,1.51,0,2.66
 60-70,0,0,0,0,0,0.83,0,0,0,0.8,4.4,0,0,0,0
 72-82,0,0,0.81,2.24,0,2.58,0,0.49,0,0,0,0,0,0,0
 84-94,0,0,0.66,0,0,3.87,0,0,1.33,0,0,0,0,0.85,4.14
 96-106,0,0,0,6.61,0,16.24,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,38.38,0.94,0,1.15,0,0,0,0,0,3.87
120,0,0,0,0,0,39.44,0,0,0,0,12.71,0,0,0,1.74
