stage,epidermis,erythrocytes,eye,glial,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,pericytes,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0
 14-21,0,0.86,0,0,0,0,0,4.53,0,0,0,2.94,0,0,0
 24-34,0,0,0,0,0,1,0,14.69,0,0.76,0,4.27,0,1.08,0
 36-46,0,0,1.74,0,0,0,0,39.93,0,0,0,3.06,0,0,0
 48-58,0,0,4.58,0.71,0,1.11,1.2,23.85,0,0,0,1.45,0,0.46,0
 60-70,0,0,28.27,2.37,0,1.59,0,51.03,0,0,2.46,0.75,0,0,0
 72-82,0,0,26.01,0,0,7.06,0,27.04,0,0,0,0,0.82,0,0
 84-94,0,0,5.71,0,1.25,1.84,0,31.56,0,0,0,9.19,0,0,0
 96-106,0.69,0,7.55,0,0,1.18,0,12.18,0,0,0,0,0,1.06,6.46
108-118,0,0,7.34,0,0,2.91,0,14.29,0,0,0,0,0,2.07,0
120,0,0,18.79,0,0,0,0,27.53,0,0,0,0,0,0,0
