stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.87,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,2.97,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,4.76,0,0,54.98,0,0,0,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,9.8,0,0,0,1.43,1.61,0,142.2,0,0,0,0.74,7.35,3.03,0,0,3.05,0,0,0,0,0,0.82,0,0,0,0,0,0
 72-82,0,0,5.48,0,3.14,45.68,0,0,0.89,35.32,145.91,1.85,306.09,1.46,0,0,3.87,19.76,0,0,0.66,174.31,0,2.13,4.13,0,4.8,2.94,4.47,0,0,2.09,0,0
 84-94,1.11,0,7.97,4.13,0.6,70.68,0,0,0,10.95,1607.92,0,565.39,0,0.62,0,1.37,14.68,0,1.32,1.39,95.96,0,0,2.94,0,3.81,13.59,6.7,0,0,4.05,0,0
 96-106,0.81,0.97,17.03,44.31,1.23,106.19,0.87,0,1.67,106.03,4724.67,0,704.63,0,1.54,6.98,21.74,91.31,5.49,0.69,7.49,267.83,2.06,0,4.58,2.4,16.02,7.72,20.02,4.91,3.14,12.34,4.72,0
108-118,0,1.7,9.31,3.51,11.06,373.08,0.42,0.9,2.64,40.42,4703.08,0,669.61,8.27,6.44,0.69,357.48,82.64,3.89,1.4,5.98,208.13,0,0.6,14.1,0,11.85,21.52,3.44,2.08,0,5.17,1.37,4.71
120,0,0,19.45,6.93,17.53,403.43,0,2.41,0,46.22,2970,0,966.78,15.24,0,0,621.55,29.28,0,29.91,10.79,122.83,0,4.31,54.52,0,0,3.74,0,0,0,0,0,0
