stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,186.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,151.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.06,7.21,0,0,4.23,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.97,0,0,0,4.35,3.3,0,0,0,9.81,0,0,0,0,0
 14-21,0,0,0,3.93,6.57,0,3.97,0,0,0,0,0,0,1.07,0,0.86,0,0,0,0,2.56,0,0,1.68,8.38,0,0,0,0,0,0,2.52,0,2.8,0,0,30.81,0,0
 24-34,0,0,0,8.15,5.13,0,7.97,0,1,0,4.02,0,0,5,7.99,1.88,1.17,0,0,0,3.51,0.84,0,0.69,124.49,2.85,0,0,0,3.39,6.01,0,2.37,42.07,0,0,529.52,0,0
 36-46,0,0.61,0,2.75,0,0,44.57,0,0,1.57,8.96,0,0,1.6,8.07,0,5.63,0.89,0,7.96,7.91,0.58,0,1.18,172.33,0.55,2.16,0.72,0,5.5,1.61,0,0,35.19,0,0,506,0,1.57
 48-58,0,0,0,2.37,5.4,0,85.35,3.88,0,0.87,35.41,0,2.17,3.11,7.94,0.55,0.85,0,0,8.91,16.67,1.27,5.16,4.64,226.59,1.01,0,4.96,0,2.03,0.51,1.86,0,55.5,0,0,388.74,0,4.21
 60-70,0,0,0,8.44,10.02,0,270.28,1.07,0,0.68,69.46,2.28,2.59,1.63,33.61,1.18,1.91,0,0,0,32.28,1.87,0,0,287.82,1.73,0,1.1,0,5.61,4.15,3.56,0,71.79,0,0,351.61,0,0
 72-82,0,0,0,1.52,0,0,113.47,0,0,0,70.9,2.12,0.55,0,9.64,0,0,0.49,0,0,32.55,1.05,1.4,0.6,199.87,0,0,6.3,0,0,0,0,0,23.41,4.52,0.83,300.34,0.76,0
 84-94,0,2.22,0,2.08,0.68,3.51,78.91,0,0,0,37.29,4.79,1.2,2.48,21.98,1.25,8.94,0,3.03,0,18.07,0,0.78,2.15,118.29,3.32,0,6.52,0,3.88,2.49,1.41,0,19.06,0,0,279.15,0,0
 96-106,0,2.23,0,9.77,0,0,66.62,4.47,0.61,0,48.57,1.01,0,0.68,16.59,2.2,7.85,1.14,1.55,2.1,15,2.74,1.37,2.63,154.89,0.58,0.81,4.75,0,12.38,0.81,0.61,0,14.62,6.94,0,195.89,0,0
108-118,0,0,0.74,3.71,3.41,6.9,36.51,0,1.76,0,55.24,11.7,0,3.16,17.01,5,3.56,1.69,0,0,12.5,0.43,1.76,4.32,116.29,0,0.43,3.63,0,0,3.59,0,0,0,5.37,0,190.09,0,5.28
120,0,0,0,17.23,4.67,3.13,36.95,0,1.68,0,65.71,11.67,0,7.69,26.9,7.94,2.23,2.13,2.32,0,9.16,0,3.51,1.28,153.23,1.18,0,8.87,0,1.67,1.13,0,0,0,0,0,180.32,0,17.42
