stage,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,ionocyte,mucous,neural,otic,paraxial_mesoderm,somites,vasculature
  3-4,78.34,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,105.46,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.36,0,0,0,0,0,0,0,38.9,0,6.95,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0
 14-21,0,0,0.88,0,0,0,1.73,0,0,0.87,0,0,1.08,0
 24-34,0,0,0,0,0,0,0,1.73,0,0,0,0,0,0
 36-46,0,0,0,2.47,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.81,0,0,0.44,0,0.84,0,0,0,0,0.43
 60-70,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0
 72-82,0,0,0,22.38,0,0,0,0,7.1,0,0,0,0,2.14
 84-94,0,0,0,7.48,2.29,2.63,0,0,0,0,0,0,0,3.85
 96-106,0,0,0.79,4.54,0,2.87,1.32,0,0.97,0,0,0,0,0
108-118,0,0,0,13,3.88,0.55,0,0,13.14,3.18,2.99,0,0,0
120,0,0,0,0,0,15.78,0,0,5.27,0,0,0,0,0
