stage,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,9.3,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,9.66,0,0,0
 14-21,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,19.91,0,0,0
 24-34,4.88,0,0.6,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0
 36-46,16.63,0,5.35,0,0,0,0,0,0,0,0,17.68,0,0,17.87,0,0,0
 48-58,17.72,0.94,1.87,0.76,0,0,0,0,0,0.42,0.57,0,0,0,12.05,1.33,0,0
 60-70,24.4,4.09,16.68,0,0,0,0.95,0.58,1.6,0,1.08,2.17,0.71,0,30.67,0,0,0
 72-82,8.53,0.97,5.4,0,0,0,0,2.63,0,0.93,0,1.49,0.87,0,12.02,1.07,0,0
 84-94,18.73,1.29,4.58,1.8,0.96,0.66,0.71,2.72,0,1.54,0,6.81,0,0,60.66,0,0.66,0
 96-106,17.54,0.65,7.91,0,1.51,0,2.39,0,1.95,0,0,4.09,0,0,38.51,0,0,0
108-118,21.36,0,6.24,2.26,0,0,0.69,2.64,8.85,0.77,0.44,1.09,1.02,0,42.93,0,1.61,2.04
120,11.95,0,7.43,0,0,0,0,0,5.02,0,0,2.47,3.86,0,31.95,0,0,0
