stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,205.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.04,51.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.62,3.38,0,0,10.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.69,0,0,0,8.98,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,43.98,0,0,0,35.58,0,0,0,0,0,0,0,0
 14-21,0,0,0,13.38,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0.86,0,0,0,1.35,0,0,0,0,0,0,0,1.48,1.78,0,0,0
 24-34,0,0,0,10.35,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,2.33,0.62,0,0,0,0,0,0,0,1.21,0,0.85,0
 36-46,0,0,0,21.39,0,0.85,0,2,0,2.98,0,0,0,0,0,0,0,0,0,0,0.62,11.47,0,0,0,0,0,0,0,0,2.55,0,0,0
 48-58,0,0,0,21.78,0,5.53,2.64,6.89,0.5,1.38,0,0,0,0,0,0,0,7.87,0,0,0,22.03,0,0,0,0,0,0,5.37,0,0,0,0,0
 60-70,0,0,0,36.22,0,0,0,11.25,3.51,0,0,0,0,0,0,0,0,72.39,0.7,0,0.97,48.38,0,0,0.79,0,0,0,0,0,5.7,0,0,0
 72-82,0,0,0,76.36,0,4.65,0,12.61,3.06,0,0,0,0,0,0.53,1.66,0.72,86.89,0,0,6.33,40.59,1,0,1.35,0,0,0,0,0,2.19,0,0.7,0
 84-94,0,0,0,173.88,0,4.71,0,35.86,1.54,1.98,0,0,0,0,0,0,0,65.62,3.41,0,3.37,23.41,0,0,0.69,0,0.6,1.65,0,0,4.43,0,0,0.62
 96-106,0,0,0,225.89,0,11.31,0,41.65,0.92,1.22,1.37,0,0,0.98,0,0,0,75.75,1.3,0,7.35,30.64,1.31,0.74,1.57,0,0.79,2.81,0,0,0,0,0,0.79
108-118,0,0,0,304.88,1.25,26.68,0,59.94,3.16,3.83,0,0,1.35,0,0,0.86,0,74.84,7.96,1.65,5.19,22.69,2.04,0.57,0,0,0,1.6,0,0,0,0,0,0.48
120,0,0,0,261.61,2.89,5.77,0,40.75,19.42,0,0,0,0,0,0,2.23,0,64.9,3,4.76,2.65,34.48,0,0,0,0,0,1.53,0,0,0,7.08,2.25,0
