stage,eye,mesenchyme,vasculature
 24-34,0,0,0.63
 48-58,2.64,0,0.39
 60-70,3.11,0.83,0
 72-82,2.53,0,1.3
 84-94,0,0,2.13
 96-106,1.14,0,1.39
108-118,0,0,1.03
120,0,0,7.81
