stage,epidermis,eye,glial,mucous,mural.cell,neural,spinal.cord,taste
 14-21,0,0,0,0,0,0.93,1.26,0
 24-34,1.61,0,0,0,0,12.86,2.35,0
 36-46,0,0,0.64,0,0,7.09,0,0
 48-58,0,0,0,0,0,9.88,1.64,0
 60-70,0,0.88,0,0,0,4.97,0,0
 72-82,0,0,0,0.75,0.75,4.69,0,2.71
 84-94,0,2.39,0,0,0,0,0,3.2
 96-106,0,1.81,0,0,0,0,1.22,3.46
108-118,0,1.63,0,0,0,0,0,3.48
120,0,0,0,0,0,16.78,0,2.24
