stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vascular.smooth.muscle
  5-6,12.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.79,0,0,7.77,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.89,0,0,0
 24-34,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,6.1,0,0,0,9.3,0,0.7,5.42,0
 36-46,0,0,0,1.54,0,0,0,0,0,0,0,0,1.81,0,0,0.73,28.05,0,0,0,15.79,0,0,1.84,0
 48-58,0,0,0,2.5,0,0,0,0,0,0.98,0,0,0,0,0,0,2.66,0,0,0,9.48,0,0,0.64,0
 60-70,0,0,0,2.2,0,0,5.08,0,0,0,0,0,0,0,0,0,7.32,0,0,0,14.79,0,0,0,0
 72-82,0,0,0,8.38,0.49,0,0,0,0,0,0,2.67,2,1.8,0,0,9.24,0,0,0,7.38,0,0,0,0
 84-94,0,0,0,8.26,0,0,0.69,0,1.16,0,0.58,0,2.45,0,0,0,7.69,0.65,0,0,20.53,0,0,0,0
 96-106,0,0,0,0,0,0,6.88,0,0,0,0,0,6.06,0,0,0,8.29,0,0,0,10.17,0,0,3.67,3.23
108-118,0,0,1.07,6.5,0,0.7,0,0.51,0,0,0,0,0,0,0,0,1.46,0,0,0,14.21,0,0,0,0
120,0,8.14,0,3.12,0,0,0,0,0,0,0,0,0,0,2.35,0,0,0,1.12,0,7.19,0,0,0,0
