stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,17.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.13,0,0,0,11.41,0,0,0,0,0,0,0,0,0,0,0
 10-12,153.51,0,30.21,0,4.44,0,25.33,0,0,0,0,0,24.08,0,0,0,0,0,14.93,0,0,0,0,0,8479.86,6.25,0,0,164.42,0,8.7,0,9.63,0,0,0,0,0,0,0
 14-21,0,0,0,17.58,2.38,0,0.92,0,0,0,1.3,0.94,0,0,0,0,0,0,0,0,7.05,0,0,0,2965.22,6.49,0,0,1.18,0,0,2.19,1.32,243.01,18.63,85.54,0,0,0,0
 24-34,0,0,1.43,11.16,2.73,0,17.03,0,0,0,3.37,2.16,0,0,0,0,0,0,0,0,20.69,4.95,0,10.23,3547.88,0.95,0,0,0,8.21,0,0,0.97,94.53,25.78,73.13,0,8.64,0,0
 36-46,0,0,0,17.42,7.59,0,15.94,2.51,0,0,44.55,0,0,0,0,0,0,0,0,0,32.76,0,0,12.15,4403.02,0,0,1.13,0,8.19,0,0,0,28.06,0.6,223.47,0,2.47,0,0
 48-58,3.88,0,0,17.42,0,0,75.17,1.68,1.1,0,126.29,0.5,0,0,0,0,0,0,0.86,0,18.3,0,0,19.85,3010.97,5.79,0.93,0,4.77,1.14,0,0,0.49,3.36,0,198.92,0,0.91,0,0.63
 60-70,0,0,0,9.65,0,0,43.39,0,0.99,0,211.81,0.63,0,0,6.83,0,0,0.65,0,0,21.92,0,0,4.83,2919.9,0,0,0,0,0.8,0,0,0,1.35,0,152.35,0,0,0,0
 72-82,0,0,0,31.04,0,0,126.43,1.22,2.6,0,173.68,3.68,0,0,0,0,0.62,0,0,4.19,19.13,0.84,0,5.59,2038.61,0,1.05,1.14,0,3.62,0,0,0,4.92,0,88.19,1.93,0,0,13.89
 84-94,0,0.94,0,32.18,0.68,0,176.61,0.79,0.92,0,147.01,0,0,1.27,2.34,0,1.21,0,0,0.68,32.83,0,4.79,10.58,1680.91,0,0.9,0,0,10.51,0,0,0,1.04,0,71.11,0,2.27,0,0
 96-106,0,0,0,26.58,7.86,0,92.01,2.99,0.63,2.41,185.14,2.82,0,0.65,0,0.59,2.7,10.83,0,0,24.55,0,0,9,1270.17,0,1.42,0,0,2.72,0,0,1.33,0,0,46.83,0,9.28,0,0
108-118,0,0,0,42.14,1.18,0.62,72.33,2.79,3.86,0,165.54,0.43,0,0,0,0,0,0,0.73,0,18.84,0,0,3.8,1870.48,0,0,3.8,0,7.02,0,0,0,0,0,31.08,0.71,0,1.79,0
120,0,0,0,31.19,0,0,242.65,0,12.15,0,193.83,0,0,0,0,0,0,0,0,0,23.21,0,2.22,10.19,2009.07,7.9,0,0,0,3.22,0,0,0,0,0,71.22,0,0,0,0
