stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,357.29,8327.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.56,0,0,0,0,0,0,0,0,0,0
  5-6,550.33,10734.85,0,13.2,0,0,0,0,0,0,0,55.73,0,0,0,0,0,0,0,0,0,0,0,258.2,46.84,0,0,92.04,199.76,0,0,0,0,0,0,0,0,0,0
  7-9,253.99,218.14,0,310.84,0,6.96,552.76,0,0,0,0,291.9,0,0,0,0,0,0,0,0,0,0,0,5600.11,289.03,0,0,1939.9,15.13,106.23,0,0,0,0,0,0,0,0,0
 10-12,0,283.66,0,399.36,0,20.32,453.64,0,0,0,0,112.59,0,0,0,0,0,10.63,0,0,0,0,3.87,5116.55,342.29,0,0,1807.17,12.69,53.47,11.69,170.41,18.94,8.6,0,0,0,0,0
 14-21,0,0,1.07,0.88,18.22,3.05,2.68,0,0,1.33,1.92,0,0,0,0,0,0,0,0,9.09,0,0,4.61,76.58,9.13,0,0.86,8.14,8.25,0,7.65,0.86,6.39,29.84,0,0,1.85,0,0
 24-34,0,0,0,0,5.23,0,9.04,0,0,4.57,0,0,0,0,0,0,0,0.86,1.9,16.82,0,0,5.41,125.23,1.79,1.76,1.68,0,17.15,0,0.71,1.79,0,42.93,0,0,2.14,0,0
 36-46,0,0,0,0,1.28,0,29.09,0.76,0,6.98,0,0,0.57,1.86,0,0,0,0,0,12.62,0.56,0.55,1.8,179,0,0.93,0.61,0,8.56,0,0,2.2,0,32.39,0,0,1.29,0,0
 48-58,0,0,0,0,0.39,0,46.11,0,0,13.12,0,0,0,0,0,0,1.41,0,0,13.75,0,0,1.21,94.83,1.77,3.31,0,0,1.43,0,0,0,0,16.85,0,0,0.99,0,0.99
 60-70,0,0,0,0,3.17,0,112.58,0,0,2.71,0.85,0,0,0,0,0,0,0,0,5.45,0,0.78,0.67,118.51,0,1.12,0.91,0,9.08,0,0,0.73,0,22.59,0,0,5.04,0,0
 72-82,0,0,0,0,5.3,2.24,173.72,0,0,5.18,0,0,0,0,0,0,0.65,0,0,12.91,1.8,0,0,79.47,0,2.33,0,0,3.53,0,0,0,0,23.1,0.97,0,5.72,1.26,0
 84-94,0,0,0,0,4.77,0.62,93.65,2.39,0.77,15.76,1.02,0,0,1.37,0,0.82,1.05,0,0,19.94,0,0,0.57,99.34,0,0,0,0,6.49,0,0,0.7,0,24.99,1.53,0,0.84,0.75,0.61
 96-106,0,0,0,0,2.11,1.41,92,0,1.74,11.23,2.43,0,1.47,0.89,0,0,0,0,0,11.15,0,0,0,61.81,0,0,0.67,0,9.85,0,0,0,0,6.81,1.22,1.22,0,3.11,0
108-118,0,0,0.8,0,4.69,4.24,88.43,3.13,0,4.22,0.45,0,0,0,0.81,1.03,0.69,0,0,11.14,2.35,9.04,0.79,54.8,0,0.86,0,0,6.4,0,0,0.42,0,4.85,0,5.7,2.72,0,0
120,0,0,0,0,6.08,0,104.22,4.88,0,18.34,0,0,0,2.3,0,2.63,0,0,0,9.54,0,0,4.47,66.81,10.25,5,0,0,1.09,0,0,0,0,0,0,0,0,0,0
