stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,gut,immune,ionocyte,liver,mesenchyme,neural,periderm,vasculature
 14-21,0,0,0,0,0,0,4.66,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,53.55,0,0,0,0,0,0.93
 36-46,0,26.91,0,0,0,0,66.52,0,0,0,2.12,0,0
 48-58,0,0,0,3.64,0,0,76.21,0,6.39,0,0,0,0
 60-70,0,0,0.61,0,4.33,0,127.1,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,89.46,0,0,1.56,4.71,0,0
 84-94,0,0,0,0,0,0,149.21,0,0,0,9.15,0,1.35
 96-106,0,3.18,0.57,0,0,0,180.06,0.56,0,8.28,0,1.11,0
108-118,0,0.71,2.96,0,0,1.81,182.96,0,0,1.06,8.6,0,0.5
120,7.02,0,14.37,0,0,0,476.72,0,0,15.38,0,0,0
