stage,epidermis,eye,lateral_line,periderm
 14-21,0,0,0,0.96
 24-34,0,0,0,17.34
 36-46,0,0.7,0,6.6
 48-58,0,0,0,5.62
 72-82,0,0,0,3.56
 84-94,0,0,0,13.22
 96-106,0,0,0,4.97
108-118,3.15,0,1.77,1.64
120,4.82,0,0,0
