stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,107.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0,0
  5-6,0,22.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.74,0,0,0,0,0,0,0,0,0
  7-9,5.87,11.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61,3.28,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.41,3.85,6,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,7.58,0,0,12.62,0,1.52,0,2.72,8.47,5.72,3.32,0,0,0,0
 24-34,0,0,0.6,0,3.84,0,0,0,0,0,0,0,0,0,0,5.72,0,0.6,0.9,0,0,0.81,0,0,54.6,0,44.08,31.74,0,1.82,0,0,172.36,0,13.45,0,0,0,0
 36-46,0,0,0,0,13.12,0,1.43,0,4.02,0,0,0,0,0,0,2.74,0,0,0,2.12,3.87,1.01,0,0.56,171.37,0,36.95,17.86,0,1.59,0,0,112.13,0,12.31,0,0,0,0
 48-58,0,0,0.41,0,1.53,0,6.06,0,1.26,0,1.01,0,0,0,0.62,6.61,0,1.63,0,0,3.41,1.4,0,0,92.24,0,12.18,12.92,0,1.46,0,0,28.41,0,22.09,0,4.96,0,2.48
 60-70,0,0,0,0,4.3,0,48.04,0,1.26,0.84,0.8,0.84,0.66,0,0.75,0.58,0,3.85,5.88,10.81,8.56,1.1,1.3,0,119.44,0,20.97,10.56,0,2.62,0,0,26.5,0,10.22,2.84,0,0,0
 72-82,0,0,2.09,0,4.16,0.74,90.73,0,1.69,0,3.89,8.38,0,0,0,3.7,0,2.06,3.49,6.45,14.1,1.65,1.11,0,156.6,0,33.75,31.5,0,0,0,0,35.45,0,14.75,10.66,1.94,0,0
 84-94,0,0,8.95,0,5.01,0,135.08,0,0,0,7.1,18,0,0,0,6.27,0,2.39,0,4.68,13.68,1.51,0,0.96,139.52,0.76,39.46,60.11,0,11.06,0,0,72.08,0,6.03,16.69,1.29,0,0
 96-106,0,0,4.19,1.68,18.07,0,208.95,1.43,0,0,7.65,39.93,0,0,2.91,3.17,3.09,2.34,0,0,11.19,1.26,0,0.88,103.96,0,40.62,55.53,0,3.19,0,0,60.75,0,5.47,32.37,0,0.64,0
108-118,0,0,2.89,3.08,11.76,0.52,265.94,0,0.53,0,4.34,47.61,0,0.43,4.44,3.6,0,7.04,1.22,0,10.88,6.2,0,0.49,75.6,0,35.57,54.97,0,6.38,0,0,55.44,0,4.85,42.33,1.46,0.57,0.55
120,0,0,0,0,15.43,0,444.99,0,2.21,0,25.4,27.88,0,0,0,7.83,0,2.23,4.15,7.7,0,3.01,0,0,85.79,0,60.45,34.68,0,1.33,1.53,0,70.54,0,0,27.46,0,0,0
