stage,blastomeres,epidermis,eye,fin_epithelia,glial,heart,lateral_line,mesenchyme,muscle,neural,somites,spinal_cord
  5-6,34.08,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.92,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.08,0.99
 24-34,0,0,1.94,0,0,0,0,2.34,0,5.79,0,2.22
 48-58,0,0,3.06,0,0,0,0,1.27,0,1.53,0,0
 60-70,0,0,3.12,0,0,0,0,0,0,1.91,0,1.59
 72-82,0,0,1.61,0.5,0,0,0.61,0,0,7.9,0,0
 84-94,0,0.93,7.26,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,0,0,0,2.35,0,0
108-118,0,0,4.13,0,0.64,1.9,0,0,0.42,4.74,0,0
120,0,17.95,0,0,0,0,0,0,0,0,0,0
