stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,immune,liver,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,51.4,3.81,0,14.35,0,0
 14-21,0,0,0,0,3.36,3.48,0,0,0,0,0,0,0,9.9,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0
 48-58,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.84
 60-70,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0
 72-82,1.35,0.5,0,2.13,0,11.67,4.93,1.32,0,0,0,0,0,0,0.52
 84-94,0,0,0,0,0,18.08,0.71,0,0,0,0,0,0,0,1.06
 96-106,3.01,0.81,0.72,0,0,25.66,0,1.26,0,1.48,0,0.62,0,0,0.61
108-118,1.21,1.04,1.37,0,0,61.73,1.46,5.82,1.57,5.62,0,0,0,0,2.7
120,0,0,0,0,0,55.39,2.76,0,0,0,0,4.27,0,0,0
