stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,12.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.02,33.86,0,0,165.93,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,14.67,35.56,0,0,0,0,0,32.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.08,329.94,0,0,558.91,0,0,4.19,7.81,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.23,0,0,22.49,0,0,0,22.08,0,0,0,0,0,0,0,0,5.88,0,0,3.98,872.4,64.82,8.29,17.02,9.5,0,0,55.4,0,1.2,17.13,278.19,0,0,0,0,0
 24-34,0,0,6.31,0,2.17,0,0,30.91,0,1.2,0,19.15,0,1.35,0,0,0,0,0,0,21.67,0,0,11.67,3555.25,6.85,157.96,19.17,0,0,0.64,0,0,0,0.84,466.78,0,0,0.64,0,1.65
 36-46,0,0,8.54,0,5.81,0,0,44.48,0,0,0,57.75,0,0,0,0,1.76,0,0,4.55,58.71,0,0,9.87,7686.47,1.29,134.7,11.06,0,0,15.34,0,0,0,0,798.51,0,0.85,4.04,0,4.02
 48-58,0.77,0,1.96,0,18.59,0,0,202.07,0,1.87,0.57,73.73,0,0,0,11.64,3.42,0,0,0,77.01,1.23,1.24,10.79,8171.95,1.08,65.47,1.85,3.66,0,3.02,0,0,0.98,0,927.43,0,0,4.9,0,21.69
 60-70,0,0,0,0,3.81,4.15,0,577.02,0,0,5.27,80.13,0,0.84,2.56,0,0,0,0,0,71.72,0,0,11.81,9193.6,0,64.02,0,0,0,3.5,0,0,0,0,904.07,0,0,0.63,0.89,14.8
 72-82,0,0,2.12,0,38.5,4.99,0,1008.79,0,4.34,11.26,109.37,0.72,0,3.9,1.36,2.8,0.51,4.63,3.31,121.73,1.75,0.65,6.81,9747.76,0,80.14,1.3,0,3.26,0,0,0,0,0,850.85,1.21,0,6.07,0,30
 84-94,0,0,2.52,0,40.59,0,0,973.02,3.91,0,0,85.33,3.88,0,0,0.69,0,1.38,2.42,2.53,82.14,0,2.9,15.74,6391.53,0,41.36,3.41,0,0.91,7.76,0,0,0.69,0,552.33,2.04,7.18,0.98,5.44,26.05
 96-106,0,0,2.38,0,45.35,22.23,0,697.38,1.36,1.27,0.74,107.51,2.38,6.14,0.75,0,0.75,0,0,0,132.05,0.69,3.66,4.29,5586.6,0.62,58.81,4.71,0,1.57,16.3,0,0,0,0,245.14,4.1,1.15,5.67,1.23,27.78
108-118,0,0,0,0,34.31,1.63,2.73,883.92,0.56,2.29,2.99,81.66,1.32,1.49,4.32,0,2.56,0,3.81,0,156.83,0,1.27,2.45,7655.18,0.45,40.12,4.14,0,1.65,9.43,0,1.48,0,0,225.62,0,0,7.51,10.23,11.48
120,0,0,0,0,40.63,0,0,852.83,0,2.41,4.1,106.87,0,0,5.61,0,1.11,0,1.43,0,169.09,1.65,30.75,8.32,8931.52,0,39.03,10.2,0,0,4.94,0,0,0,0,161.13,0,0,12.99,0,52.69
