stage,blastomeres,endoderm,eye,gut,hatching.gland,melanocytes,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,xanthophores
  3-4,9.88,0,0,0,0,0,0,0,0,13.19,0,0,0
  5-6,46.23,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.58,0,0,5.49,0,0,14.7,12.37,0,0,0,0
 10-12,0,0,0,0,0,0,0,26.29,0,0,4.18,0,0
 24-34,0,0,0,0,0,0,0,1.12,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.65,2.69,0,0,0,0,0
 48-58,0,0,0,1.42,0,0,0,0,0,0,0,3.27,0
 60-70,0,0,0.91,5.39,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.35,3.67,0,0,1.33,2.05,0,0,0,0,0
 84-94,0,0,0,5.01,0,0,0,5.03,0,0,0,0,0
 96-106,0,0,0,0.66,0,0,1.12,0,0,0,0,0,0
108-118,0,0,1.32,3.98,0,1.1,0,5.33,0,0,0,0,2.65
120,0,0,0,10.75,0,0,0,0,0,0,0,0,0
